instance,split,assets,days,k_ratio,K,corr_structure,return_distribution,risk_structure,replicate,seed,path
syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,train,50,756,0.05,3,low_corr,skewed,extreme_events,2,3386395017,data\synthetic_constrained_portfolio\instances\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627.txt
syn_n50_k05_pathological_cov_normal_extreme_events_r02_s20260628,train,50,756,0.05,3,pathological_cov,normal,extreme_events,2,2495532457,data\synthetic_constrained_portfolio\instances\train\syn_n50_k05_pathological_cov_normal_extreme_events_r02_s20260628.txt
syn_n50_k05_low_corr_normal_low_vol_r01_s20260629,train,50,756,0.05,3,low_corr,normal,low_vol,1,1189327263,data\synthetic_constrained_portfolio\instances\train\syn_n50_k05_low_corr_normal_low_vol_r01_s20260629.txt
syn_n50_k05_high_corr_heavy_tail_extreme_events_r01_s20260630,train,50,756,0.05,3,high_corr,heavy_tail,extreme_events,1,374518686,data\synthetic_constrained_portfolio\instances\train\syn_n50_k05_high_corr_heavy_tail_extreme_events_r01_s20260630.txt
syn_n50_k05_low_corr_heavy_tail_high_vol_r03_s20260631,train,50,756,0.05,3,low_corr,heavy_tail,high_vol,3,2687604763,data\synthetic_constrained_portfolio\instances\train\syn_n50_k05_low_corr_heavy_tail_high_vol_r03_s20260631.txt
syn_n50_k05_cluster_corr_skewed_high_vol_r01_s20260632,train,50,756,0.05,3,cluster_corr,skewed,high_vol,1,2463368723,data\synthetic_constrained_portfolio\instances\train\syn_n50_k05_cluster_corr_skewed_high_vol_r01_s20260632.txt
syn_n50_k05_pathological_cov_skewed_high_vol_r03_s20260633,train,50,756,0.05,3,pathological_cov,skewed,high_vol,3,3852544179,data\synthetic_constrained_portfolio\instances\train\syn_n50_k05_pathological_cov_skewed_high_vol_r03_s20260633.txt
syn_n50_k05_high_corr_normal_low_vol_r03_s20260634,validation,50,756,0.05,3,high_corr,normal,low_vol,3,2784243890,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k05_high_corr_normal_low_vol_r03_s20260634.txt
syn_n50_k05_cluster_corr_mixed_extreme_events_r03_s20260635,validation,50,756,0.05,3,cluster_corr,mixed,extreme_events,3,1113219159,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k05_cluster_corr_mixed_extreme_events_r03_s20260635.txt
syn_n50_k05_cluster_corr_heavy_tail_low_vol_r02_s20260636,validation,50,756,0.05,3,cluster_corr,heavy_tail,low_vol,2,3153214736,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k05_cluster_corr_heavy_tail_low_vol_r02_s20260636.txt
syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637,test,50,756,0.05,3,high_corr,mixed,high_vol,2,1045341888,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637.txt
syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638,test,50,756,0.05,3,pathological_cov,mixed,low_vol,1,3936024425,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638.txt
