split,instance,K,method,runs,theta_ids,N,maxFE,rng_policy,seed_policy,PF_Drift,HV,IGD,PF_Overlap,Diversity,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation,rank_HV,rank_IGD,rank_PF_Overlap,rank_PF_Drift,rank_Diversity,rank_Runtime,InstanceRankScore,RankBasedCompositeRank,HV_score,IGD_score,PF_Overlap_score,PF_Drift_score,DiversityScore,RuntimeScore,PerformanceScore,StabilityScore,J_stability,J_performance,EqualWeightedScore,PerformanceRank,StabilityWeightedRank,EqualWeightedRank
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.026754666812068163,1.0476901395408467,0.012899162336261297,0.848888888888889,1.1607953066195245,2.556757423333333,100.0,1.0,1.0,3.529398995283373e-16,1.3507713466272737e-15,3.529398995283373e-16,1.3507713466272737e-15,1.0,1.0,1.0,5.0,5.0,2.0,2.5,1.0,1.0,1.0,1.0,0.0,0.0,0.908539533147999,1.0,0.5,0.5658539533147999,0.6658539533147998,0.6021348832869997,1.0,1.0,1.0
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,RandomConfig_ECMADE_MOO,30,theta_07,100.0,10000.0,"rng(run,'mcg16807')",run index,0.0265630216784586,1.0402244482532257,0.01746664898303708,0.8308333333333334,1.1940602270952867,6.919925763333334,100.0,1.0,1.0,1.9428902930940238e-17,2.2204460492503104e-16,1.9428902930940238e-17,2.2204460492503104e-16,2.0,3.0,2.0,4.0,1.0,5.0,2.8333333333333335,3.0,0.027891409208669043,0.0037982007197145057,0.7601476014760145,0.03169050891745371,1.0,0.0,0.015844804964191776,0.3959190551967341,0.3821247760795783,0.30610992603306986,0.3529409650402315,3.0,4.0,5.0
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02537714730068415,1.0400102451768398,0.01748406335739537,0.8286111111111111,1.1720511303839798,2.11752787,100.0,1.0,1.0,2.1649348980190544e-17,2.2204460492503104e-16,2.1649348980190544e-17,2.2204460492503104e-16,4.5,4.5,3.5,2.5,3.5,1.0,3.25,4.0,0.0,0.0,0.7306273062730608,0.22778712684882652,0.33836917700304264,1.0,0.0,0.47920721656094367,0.38331708285303323,0.28747563954084443,0.4543940983909966,4.5,3.0,3.0
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,MetaDesigned_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02537714730068415,1.0400102451768398,0.01748406335739537,0.8286111111111111,1.1720511303839798,3.3860383166666663,100.0,1.0,1.0,2.1649348980190544e-17,2.2204460492503104e-16,2.1649348980190544e-17,2.2204460492503104e-16,4.5,4.5,3.5,2.5,3.5,4.0,3.75,5.0,0.0,0.0,0.7306273062730608,0.22778712684882652,0.33836917700304264,0.7358589448767653,0.0,0.47920721656094367,0.35690297734070975,0.261061534028521,0.38835883461018794,4.5,5.0,4.0
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,ExperimentC_NoReplicate_ECMADE_MOO,30,theta_200,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02070726839039081,1.0400956184323993,0.01590578960061976,0.7736111111111111,1.1837409587716157,3.294295443333333,100.0,1.0,1.0,1.8577731945394274e-17,2.1834386150961386e-16,1.8577731945394274e-17,2.1834386150961386e-16,3.0,2.0,5.0,1.0,2.0,3.0,2.6666666666666665,2.0,0.011116462221092353,0.3442328960866481,0.0,1.0,0.6897852700056825,0.7549625000946056,0.17767467915387022,0.5,0.48287197379906466,0.4184069096298387,0.5306056123135396,2.0,2.0,2.0
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.029209338169530634,1.0020956533596304,0.01760417183976794,0.8402777777777778,1.3112919185962582,2.7160202199999994,100.0,1.0,1.0,3.6382008516966376e-16,1.3285668861347707e-15,3.6382008516966376e-16,1.3285668861347707e-15,1.0,1.0,1.0,2.0,2.0,2.0,1.5,1.0,1.0,1.0,1.0,0.6461639077074969,0.8946024054891666,0.8995984112389814,1.0,0.8230819538537484,0.8892672014559182,0.9246508106851685,0.9043206926454741,1.0,1.0,1.0
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,RandomConfig_ECMADE_MOO,30,theta_21,100.0,10000.0,"rng(run,'mcg16807')",run index,0.038662310280482996,0.9806893717768941,0.035599995873327954,0.7236111111111111,1.2989096823313775,7.744574086666668,100.0,1.0,1.0,1.713444201338158e-17,2.1464311809419669e-16,1.713444201338158e-17,2.1464311809419669e-16,5.0,5.0,4.0,5.0,4.0,5.0,4.666666666666667,5.0,0.0,0.0,0.25133689839572143,0.0,0.02348655546548909,0.0,0.0,0.12566844919786072,0.06124811323213514,0.036114423392562996,0.03728875116583745,5.0,5.0,5.0
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.03719788212105131,0.9918026647275868,0.025919376360548137,0.805277777777778,1.298575839159067,2.1547978,100.0,1.0,1.0,2.1575334111882196e-17,2.2204460492503104e-16,2.1575334111882196e-17,2.2204460492503104e-16,3.0,3.0,3.0,4.0,5.0,1.0,3.1666666666666665,3.0,0.5191603645751995,0.5379369955344442,0.7754010695187177,0.10010191619616898,0.0,1.0,0.5285486800548218,0.4377514928574433,0.42912534179955497,0.44728477923903065,0.4915750432280663,3.0,3.0,3.0
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,MetaDesigned_ECMADE_MOO,30,theta_09,100.0,10000.0,"rng(run,'mcg16807')",run index,0.024032938385524883,0.9991034261890447,0.01838723659954323,0.8102777777777777,1.3076494378408905,5.989785693333334,100.0,1.0,1.0,2.0724163126336247e-17,2.146431180941967e-16,2.0724163126336247e-17,2.146431180941967e-16,2.0,2.0,2.0,1.0,3.0,3.0,2.1666666666666665,2.0,0.8602173311128056,0.9564863071390914,0.8074866310160418,1.0,0.638346374548574,0.31392819736257466,0.9083518191259485,0.9037433155080209,0.7928345414060688,0.7937562421296543,0.6910924266362796,2.0,2.0,2.0
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,ExperimentC_NoReplicate_ECMADE_MOO,30,theta_164,100.0,10000.0,"rng(run,'mcg16807')",run index,0.03280297340060048,0.9821392225237787,0.03012148287639944,0.6844444444444445,1.3127900636672585,6.541593143333332,100.0,1.0,1.0,2.161234154603638e-17,2.2204460492503104e-16,2.161234154603638e-17,2.2204460492503104e-16,4.0,4.0,5.0,3.0,1.0,4.0,3.5,4.0,0.06773015394013665,0.3044324609260324,0.0,0.400518690888013,1.0,0.21521092824462668,0.18608130743308451,0.2002593454440065,0.35815812513253675,0.3553225175303524,0.4003878952804294,4.0,4.0,4.0
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,10,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.0466847771586124,1.097998310618015,0.01615191123570748,0.8633333333333334,0.8965930717855279,1.9509815166666666,100.0,1.0,1.0,4.2443826231419734e-16,1.5950204120448083e-15,4.2443826231419734e-16,1.5950204120448083e-15,4.0,4.0,4.0,4.0,3.0,2.0,3.5,4.0,0.31677458915695106,0.3828295467148384,0.21577726218097523,0.058687152374121795,0.4503571641162745,0.9076492549577043,0.34980206793589474,0.1372322072775485,0.33004136857789584,0.3725553407095651,0.46126017357185556,4.0,4.0,4.0
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,10,RandomConfig_ECMADE_MOO,30,theta_23,100.0,10000.0,"rng(run,'mcg16807')",run index,0.04820558869020318,1.0902302645321507,0.020748836861744637,0.8374999999999999,0.9179849133955529,5.044003103333333,100.0,1.0,1.0,5.6621374255883e-17,3.293661639721298e-16,5.6621374255883e-17,3.293661639721298e-16,5.0,5.0,5.0,5.0,1.0,5.0,4.333333333333333,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.25,5.0,5.0,5.0
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,10,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.024540884325348605,1.1063498042942173,0.011626602818708538,0.9230555555555556,0.8999890746561945,1.6362753166666664,100.0,1.0,1.0,6.191343733992957e-17,3.1826393372587826e-16,6.191343733992957e-17,3.1826393372587826e-16,3.0,3.0,3.0,3.0,2.0,1.0,2.5,3.0,0.657341695593157,0.7596948499540394,0.7146171693735496,0.9132059312412327,0.5376141980140801,1.0,0.7085182727735981,0.8139115503073912,0.7509126054345415,0.7298339499277829,0.7650110052737673,3.0,2.0,1.0
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,10,MetaDesigned_ECMADE_MOO,30,theta_09,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02229171367551791,1.114752578984638,0.008741076056747758,0.9572222222222224,0.8790653819954378,4.033929959999999,100.0,1.0,1.0,5.854576083189992e-17,3.293661639721298e-16,5.854576083189992e-17,3.293661639721298e-16,1.5,1.5,1.5,1.5,4.5,4.0,2.4166666666666665,2.0,1.0,1.0,1.0,1.0,0.0,0.29640664001550315,1.0,1.0,0.7296406640015503,0.7296406640015503,0.5741016600038757,1.5,3.0,3.0
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,10,ExperimentC_NoReplicate_ECMADE_MOO,30,theta_086,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02229171367551791,1.114752578984638,0.008741076056747758,0.9572222222222224,0.8790653819954378,2.7898117299999994,100.0,1.0,1.0,5.854576083189992e-17,3.293661639721298e-16,5.854576083189992e-17,3.293661639721298e-16,1.5,1.5,1.5,1.5,4.5,3.0,2.25,1.0,1.0,1.0,1.0,1.0,0.0,0.6614939673741703,1.0,1.0,0.766149396737417,0.766149396737417,0.6653734918435426,1.5,1.0,2.0
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,10,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.04155579214226761,0.9893394867724972,0.014900893035119229,0.8344444444444445,1.1288767144902085,1.982953786666667,100.0,1.0,1.0,3.9094653440467173e-16,1.3248661427193535e-15,3.9094653440467173e-16,1.3248661427193535e-15,1.0,1.0,1.0,4.0,2.0,2.0,1.8333333333333333,1.0,1.0,1.0,1.0,0.49539421148390017,0.7612594042613855,0.8938810064548046,1.0,0.7476971057419501,0.8281036790816352,0.8785642579332451,0.850709379114535,1.0,1.0,1.0
