endpoint,direction,method_a,method_b,paired_units,median_oriented_difference,mean_oriented_difference,wins_a,ties,wins_b,wilcoxon_stat,two_sided_p_value,one_sided_greater_p_value,rank_biserial_correlation,vargha_delaney_A_oriented,holm_two_sided_p_value,significant_0_05
HV,max,HandCrafted_ECMADE_MOO,RandomConfig_ECMADE_MOO,32,0.0,-0.013424409560266248,11,8,13,89.0,0.08392000198364258,0.9606353640556335,-0.4066666666666667,0.4775390625,0.4196000099182129,False
HV,max,HandCrafted_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,-0.0009811977120323667,-0.008297079179695768,15,0,17,227.0,0.5000474993139505,0.755836843047291,-0.14015151515151514,0.4931640625,1.0,False
HV,max,HandCrafted_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.005385057310508701,-0.025238355907182226,8,2,22,83.0,0.0014574769884347916,0.9993296982720494,-0.6430107526881721,0.45703125,0.013117292895913124,True
HV,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.003443037147435879,-0.02163802316916951,11,2,19,128.0,0.03098480962216854,0.985337071120739,-0.44946236559139785,0.470703125,0.2168936673551798,False
HV,max,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,0.00026715565804091845,0.005127330380570481,17,2,13,211.0,0.6701805889606476,0.3350902944803238,0.09247311827956989,0.5146484375,1.0,False
HV,max,RandomConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.004922268220247772,-0.011813946346915977,11,1,20,144.0,0.04136332217603922,0.9803219172172248,-0.41935483870967744,0.47216796875,0.2481799330562353,False
HV,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-2.972778801091369e-05,-0.008213613608903263,13,3,16,166.0,0.27462591975927353,0.8673960380256176,-0.2367816091954023,0.48486328125,0.8238777592778206,False
HV,max,BayesianConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.007456013264324934,-0.016941276727486458,1,9,22,6.0,3.337860107421875e-06,0.9999988079071045,-0.9565217391304348,0.45947265625,3.337860107421875e-05,True
HV,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.0037906838918020935,-0.013340943989473743,8,2,22,86.0,0.0018640067428350449,0.9991407049819827,-0.6301075268817204,0.4716796875,0.014912053942680359,True
HV,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0007289418977948214,0.0036003327380127147,16,6,10,114.0,0.12266942858695984,0.06133471429347992,0.3504273504273504,0.517578125,0.49067771434783936,False
IGD,min,HandCrafted_ECMADE_MOO,RandomConfig_ECMADE_MOO,32,0.0,-0.005492437101677131,13,8,11,115.0,0.3305051326751709,0.8417438268661499,-0.23333333333333334,0.51953125,0.9915153980255127,False
IGD,min,HandCrafted_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,0.0007809353832269766,-0.002207605052454025,19,0,13,262.0,0.9779350669123232,0.4889675334561616,0.007575757575757576,0.48828125,1.0,False
IGD,min,HandCrafted_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.002129160922292913,-0.014531462335006011,11,2,19,103.0,0.006639536470174789,0.9969025040045381,-0.556989247311828,0.4404296875,0.053116291761398315,False
IGD,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.0006458225421125674,-0.011024187884036963,14,2,16,156.0,0.11907656863331795,0.9429116630926728,-0.32903225806451614,0.4482421875,0.7144594117999077,False
IGD,min,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,7.546016328993004e-05,0.003284832049223107,17,2,13,224.0,0.871207794174552,0.435603897087276,0.03655913978494624,0.4755859375,1.0,False
IGD,min,RandomConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.005733407372769067,-0.00903902523332888,11,1,20,129.0,0.01869285199791193,0.9911692393943667,-0.4798387096774194,0.41064453125,0.1308499639853835,False
IGD,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,-0.005531750782359831,15,3,14,158.0,0.2053302302956581,0.9011875465512276,-0.2735632183908046,0.43798828125,0.8213209211826324,False
IGD,min,BayesianConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.006899119156327682,-0.012323857282551984,1,9,22,5.0,2.384185791015625e-06,0.9999991655349731,-0.9637681159420289,0.43701171875,2.384185791015625e-05,True
IGD,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.004606608548272665,-0.008816582831582938,6,2,24,69.0,0.0004183966666460037,0.9998099533841014,-0.7032258064516129,0.4560546875,0.0037655699998140335,True
IGD,min,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0004816768058955251,0.003507274450969047,17,6,9,114.0,0.12266942858695984,0.06133471429347992,0.3504273504273504,0.5224609375,0.7144594117999077,False
PF_Overlap,max,HandCrafted_ECMADE_MOO,RandomConfig_ECMADE_MOO,32,0.0,0.0069331449953049665,15,8,9,119.0,0.3902466297149658,0.1951233148574829,0.20666666666666667,0.5146484375,0.4108193852007389,False
PF_Overlap,max,HandCrafted_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,-0.05356156156156161,-0.040220409071963725,12,0,20,157.0,0.045395012479275465,0.9783356746193022,-0.4053030303030303,0.4658203125,0.2723700748756528,False
PF_Overlap,max,HandCrafted_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.05894444444444433,-0.07505686645963261,7,2,23,65.0,0.000283263623714447,0.9998718556016684,-0.7204301075268817,0.42578125,0.002549372613430023,True
PF_Overlap,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.0018055555555555325,-0.03893173221298221,14,2,16,170.0,0.20540969260036945,0.9009621003642678,-0.26881720430107525,0.4677734375,0.4108193852007389,False
