endpoint,direction,method_a,method_b,paired_units,median_oriented_difference,mean_oriented_difference,wins_a,ties,wins_b,wilcoxon_stat,two_sided_p_value,one_sided_greater_p_value,rank_biserial_correlation,vargha_delaney_A_oriented,holm_two_sided_p_value,significant_0_05
HV,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.003443037147435879,-0.02163802316916951,11,2,19,128.0,0.03098480962216854,0.985337071120739,-0.44946236559139785,0.470703125,0.2168936673551798,False
HV,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-2.972778801091369e-05,-0.008213613608903263,13,3,16,166.0,0.27462591975927353,0.8673960380256176,-0.2367816091954023,0.48486328125,0.8238777592778206,False
HV,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.0037906838918020935,-0.013340943989473743,8,2,22,86.0,0.0018640067428350449,0.9991407049819827,-0.6301075268817204,0.4716796875,0.014912053942680359,True
HV,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0007289418977948214,0.0036003327380127147,16,6,10,114.0,0.12266942858695984,0.06133471429347992,0.3504273504273504,0.517578125,0.49067771434783936,False
IGD,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.0006458225421125674,-0.011024187884036963,14,2,16,156.0,0.11907656863331795,0.9429116630926728,-0.32903225806451614,0.4482421875,0.7144594117999077,False
IGD,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,-0.005531750782359831,15,3,14,158.0,0.2053302302956581,0.9011875465512276,-0.2735632183908046,0.43798828125,0.8213209211826324,False
IGD,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.004606608548272665,-0.008816582831582938,6,2,24,69.0,0.0004183966666460037,0.9998099533841014,-0.7032258064516129,0.4560546875,0.0037655699998140335,True
IGD,min,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0004816768058955251,0.003507274450969047,17,6,9,114.0,0.12266942858695984,0.06133471429347992,0.3504273504273504,0.5224609375,0.7144594117999077,False
PF_Overlap,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.0018055555555555325,-0.03893173221298221,14,2,16,170.0,0.20540969260036945,0.9009621003642678,-0.26881720430107525,0.4677734375,0.4108193852007389,False
PF_Overlap,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.00805555555555551,-0.04586487720828718,12,3,17,133.0,0.0688701830804348,0.9672424159944057,-0.38850574712643676,0.45947265625,0.344350915402174,False
PF_Overlap,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.017083333333333395,0.0012886768589815151,9,3,20,146.0,0.1260332576930523,0.9396726936101913,-0.32873563218390806,0.49658203125,0.3780997730791569,False
PF_Overlap,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.005972222222222379,0.036125134246650405,18,6,8,89.0,0.02719581127166748,0.01359790563583374,0.4928774928774929,0.5390625,0.19037067890167236,False
PF_Drift,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.00503006257885402,-0.0071310595233042475,12,2,18,153.0,0.10483990423381329,0.9498013220727444,-0.3419354838709677,0.462890625,0.20967980846762657,False
