split,instance,K,ideal_obj1,ideal_obj2,nadir_obj1,nadir_obj2,reference_points,methods_in_reference
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,4.05726190912163e-05,-0.00259978257157,0.000525433121388862,-0.000475553840484908,120,5
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,2.32913611498963e-05,-0.00159234248366,0.000326584649554558,0.00017702522013111,120,5
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,10,3.19807016496921e-05,-0.00167008007464,0.000490625712240033,-0.000306293544998217,120,5
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,10,2.59854474696408e-05,-0.000587856915407,6.27828357387908e-05,-0.000182511359741498,120,5
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,20,0.000119724020826599,-0.000560806064124622,0.000766207428020876,0.000326988907554415,120,5
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,20,0.00012627921581573,-0.000776491439424263,0.000543994331328959,-0.0003340134009086,120,5
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,30,0.000114167479922565,-0.000430133601992024,0.000670247979065654,0.000329246705475485,120,5
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,30,1.09810758058843e-06,-0.00110270610973449,9.48995619077535e-05,-0.000286438823124797,120,5
test,syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734,10,2.76264841482783e-05,-0.00169279251159,0.000654572809920661,-0.0001048008550847,120,5
test,syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733,10,7.5374396348471e-05,2.2366511964e-05,0.000276037378672048,0.000701485484157416,120,5
test,syn_n200_k10_high_corr_heavy_tail_extreme_events_r01_s20260746,20,0.00011422233548435,-0.000903335433656734,0.000741407779202128,0.000295096422675666,120,5
test,syn_n200_k10_pathological_cov_skewed_high_vol_r03_s20260745,20,0.000140318685608223,-0.00072535975122068,0.000361589157810764,-0.000177013111802937,120,5
test,syn_n200_k20_high_corr_heavy_tail_extreme_events_r01_s20260758,40,0.000127355918231667,-0.000452707955933897,0.000675369666102744,0.00048378781645167,120,5
test,syn_n200_k20_low_corr_normal_low_vol_r01_s20260757,40,7.88181118002651e-07,-0.00121566212286368,9.81395325695287e-05,-0.00024833376171254,120,5
test,syn_n200_k30_high_corr_normal_low_vol_r03_s20260769,60,2.11259700579349e-05,-0.000868433265929765,0.000102631979122566,-0.000143119702921263,120,5
test,syn_n200_k30_low_corr_skewed_extreme_events_r02_s20260770,60,1.89695054596384e-05,-0.00126406310155264,0.000273242922063957,0.000291543368616455,120,5
test,syn_n500_k05_low_corr_normal_low_vol_r01_s20260782,25,1.21938191260614e-06,-0.00132444088922663,9.85356437412896e-05,-0.000301873465063156,111,5
test,syn_n500_k05_pathological_cov_mixed_low_vol_r01_s20260781,25,9.33017458878561e-05,0.00204848133273535,0.000158887625393045,0.00237287936265142,120,5
test,syn_n500_k10_low_corr_heavy_tail_high_vol_r03_s20260793,50,8.83024423762728e-06,-0.00476906521747152,0.000794153453545824,-0.000516336401020884,120,5
test,syn_n500_k10_pathological_cov_mixed_low_vol_r01_s20260794,50,8.14198839511497e-05,0.00138023215674367,0.000163681534766705,0.00181719398761158,120,5
test,syn_n500_k20_cluster_corr_skewed_high_vol_r01_s20260805,100,1.60445621210584e-05,-0.00213178077985966,0.000384432723751608,-0.00023158402845438,103,5
test,syn_n500_k20_pathological_cov_mixed_low_vol_r01_s20260806,100,8.82728391161592e-05,0.00206214730136257,0.000111065445871221,0.00241618822251903,58,5
test,syn_n500_k30_cluster_corr_skewed_high_vol_r01_s20260817,150,1.7411206947023e-05,-0.00204776644930846,0.000319756487435907,-0.000499661553443509,75,5
test,syn_n500_k30_pathological_cov_normal_extreme_events_r02_s20260818,150,7.61313186865651e-05,2.43600458893397e-05,0.000240513393596004,0.000843014217140522,39,5
test,syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637,3,0.000255454926592972,0.00110729218081,0.000519636378223292,0.00212876870719634,120,5
test,syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638,3,9.36470000431035e-05,0.0013853225445,0.000185906839015325,0.00186890436749147,120,5
test,syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649,5,4.47732065888484e-05,-0.00209891030528,0.000437610628660659,-0.000251065589957936,120,5
test,syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650,5,2.58108795433039e-05,-0.000605078898909,0.00037787187952118,0.000222286481669101,120,5
test,syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662,10,3.03723176520551e-05,-0.00154704614079,0.000511693792750579,-0.000379383203307431,120,5
test,syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661,10,7.40242751900705e-05,-0.000375248248644,0.000252585173654055,-0.000127774482589282,120,5
test,syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673,15,1.36595824056653e-05,-0.00105221667256914,0.00012076286566225,-0.000316778137074197,120,5
test,syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674,15,2.90338041501675e-05,-0.00325974915885,0.000937132324956104,-0.000593700712640244,120,5
