split,instance,items,objectives,capacity_ratio,profit_mode,replicate,seed,method,runs,PF_Size,HV,IGD,PF_Overlap,PF_Drift,Diversity,Runtime,PF_Feasible_Rate,Population_Feasible_Rate,rank_HV,rank_IGD,rank_PF_Overlap,rank_PF_Drift,rank_Diversity,rank_Runtime,RankScore,OverallInstanceRank
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,30,99.9,0.900497265025751,0.09492205797774932,0.19222222222222224,0.04291101512465861,0.43177751068914366,1.2842988999999998,1.0,1.0,10.0,10.0,7.0,3.0,10.0,3.0,7.166666666666667,10.0
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,ECMADE_MOO,30,96.66666666666667,0.9403677537613772,0.06817171724703154,0.25666666666666665,0.06037271624767211,0.647727358278397,1.695904716666667,1.0,1.0,7.0,4.0,5.0,9.0,6.0,7.0,6.333333333333333,5.0
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,GDE3,30,5.833333333333333,0.3580668064906361,0.4657669678893773,0.0,0.04814767758791911,0.35809910701595454,1.1663465933333335,1.0,1.0,12.0,12.0,12.0,5.0,11.0,1.0,8.833333333333334,11.0
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,MOEAD,30,72.83333333333333,0.874895731039524,0.11539170596766067,0.1683333333333333,0.04105091495937803,0.3233857625621628,9.60089279,1.0,1.0,11.0,11.0,8.0,1.0,12.0,12.0,9.166666666666666,12.0
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,NSGAII,30,100.0,0.9204857371075728,0.08252738938167287,0.23972222222222223,0.04624611275636416,0.4845935431632905,1.2104075766666669,1.0,1.0,9.0,9.0,6.0,4.0,9.0,2.0,6.5,6.5
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,SPEA2,30,100.0,0.9342149917225769,0.07380035364286716,0.3433333333333335,0.04158820693747298,0.5235870247785029,3.656543783333333,1.0,1.0,8.0,8.0,1.0,2.0,8.0,9.0,6.0,4.0
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,RandomConfig_ECMADE_MOO,30,90.16666666666667,0.9552628147728698,0.05575003693388655,0.34222222222222226,0.054525993443869464,0.7498487069354977,1.4047345666666664,1.0,1.0,4.5,1.5,2.5,6.5,4.5,5.0,4.083333333333333,1.0
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,MetaTransfer_ECMADE_MOO,30,90.16666666666667,0.9552628147728698,0.05575003693388655,0.34222222222222226,0.054525993443869464,0.7498487069354977,1.4094458166666664,1.0,1.0,4.5,1.5,2.5,6.5,4.5,6.0,4.25,2.0
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,BayesianConfig_ECMADE_MOO,30,96.03333333333333,0.9428617515700991,0.06779984412537975,0.27444444444444444,0.05866048867713828,0.6409711562740051,1.3304247766666668,1.0,1.0,6.0,3.0,4.0,8.0,7.0,4.0,5.333333333333333,3.0
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,ExperimentC_StabilityAware_ECMADE_MOO,30,95.2,0.9564020044489863,0.0725347056544733,0.03194444444444445,0.08008351089372306,1.04525031099029,2.3960729133333336,1.0,1.0,2.0,6.0,10.0,11.0,2.0,8.0,6.5,6.5
