split,instance,ideal_obj1,ideal_obj2,nadir_obj1,nadir_obj2,reference_points
test,mokp_m02_d100_c35_conflicting_r01_s20271919,2746.0,2267.0,4320.0,4116.0,120
test,mokp_m02_d100_c35_independent_r01_s20271819,2135.0,2436.0,3584.0,3687.0,41
test,mokp_m02_d100_c50_conflicting_r01_s20272919,1662.0,1449.0,3486.0,3489.0,110
test,mokp_m02_d100_c50_independent_r01_s20272819,1534.0,1636.0,2731.0,2934.0,52
test,mokp_m02_d100_c65_conflicting_r01_s20273919,1003.0,886.0,2510.0,2274.0,134
test,mokp_m02_d100_c65_independent_r01_s20273819,1055.0,948.0,1982.0,1986.0,54
test,mokp_m02_d250_c35_conflicting_r01_s20281919,6820.0,6041.0,10346.0,9460.0,100
test,mokp_m02_d250_c35_independent_r01_s20281819,5956.0,5636.0,8701.0,8642.0,43
test,mokp_m02_d250_c50_conflicting_r01_s20282919,4516.0,4126.0,8639.0,7892.0,91
test,mokp_m02_d250_c50_independent_r01_s20282819,4113.0,4068.0,6847.0,7177.0,42
test,mokp_m02_d250_c65_conflicting_r01_s20283919,2700.0,2887.0,5305.0,5620.0,87
test,mokp_m02_d250_c65_independent_r01_s20283819,2696.0,2432.0,5141.0,4799.0,52
test,mokp_m02_d500_c35_conflicting_r01_s20291919,14151.0,13201.0,19279.0,18469.0,65
test,mokp_m02_d500_c35_independent_r01_s20291819,12119.0,12997.0,17414.0,18048.0,29
test,mokp_m02_d500_c50_conflicting_r01_s20292919,10139.0,8982.0,16086.0,14700.0,67
test,mokp_m02_d500_c50_independent_r01_s20292819,8649.0,8569.0,13791.0,13908.0,47
test,mokp_m02_d500_c65_conflicting_r01_s20293919,6390.0,5550.0,10813.0,10434.0,68
test,mokp_m02_d500_c65_independent_r01_s20293819,5038.0,4666.0,9969.0,9615.0,48
