split,instance,items,objectives,capacity_ratio,profit_mode,replicate,seed,method,run,PF_Size,Runtime,PF_Feasible_Rate,Population_Feasible_Rate,run_dir,HV,IGD,PF_Overlap,Diversity
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,1,100,1.3812895,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_001,0.8877406036299714,0.10314738500483554,0.14166666666666666,0.37568158318230066
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,2,100,1.1565101,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_002,0.858224563158904,0.1272708477743862,0.3416666666666667,0.23793014766312479
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,3,100,1.3154111,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_003,0.8934995804593712,0.0868339162985665,0.041666666666666664,0.46263887238135265
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,4,100,1.166452,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_004,0.8840418427351442,0.1003638814086794,0.15,0.38481390195317233
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,5,100,1.0715137,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_005,0.8907142567533674,0.101717998132391,0.26666666666666666,0.35912264379495884
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,6,100,1.1716738,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_006,0.892096095076634,0.09861219572617734,0.05,0.40835212470117116
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,7,100,1.3232211,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_007,0.872748125124127,0.1076106047340354,0.325,0.31358033553424736
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,8,100,1.1480051,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_008,0.8997458910101482,0.0980296881978138,0.06666666666666667,0.40600832655468055
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,9,97,1.1537199,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_009,0.903481245743604,0.08760512768849289,0.4666666666666667,0.4782939759997017
test,mokp_m02_d100_c35_conflicting_r01_s20271919,100,2,0.35,conflicting,1,20271919,A_MPMO,10,100,1.1214683,1.0,1.0,producer_outputs/p0_lite_outputs/p1_multi_objective_knapsack_full_independent_20260719/test/mokp_m02_d100_c35_conflicting_r01_s20271919/A_MPMO/run_010,0.9259058813342561,0.08170948218553624,0.4666666666666667,0.43535766351459454
