split,instance,assets,K,k_ratio,theta_index,theta_id,predicted_score,predicted_C_LabelScore,S,operator,migration,elite_ratio,stagnation_threshold,path,selector_ablation_variant,method_name
test,syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637,50,3,0.05,4,theta_045,19.648836587301584,19.648836587301584,2,DE/best,fixed,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638,50,3,0.05,13,theta_131,18.744345981240986,18.744345981240986,3,DE/best,adaptive,0.05,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649,50,5,0.1,5,theta_047,20.9546157142857,20.9546157142857,2,DE/best,adaptive,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650,50,5,0.1,17,theta_164,18.918943015873012,18.918943015873012,5,DE/rand,none,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661,50,10,0.2,10,theta_086,19.863883860028857,19.863883860028857,3,DE/rand,none,0.05,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662,50,10,0.2,15,theta_144,19.754625952380938,19.754625952380938,3,mixed,none,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673,50,15,0.3,7,theta_076,16.544921190476195,16.544921190476195,2,mixed,adaptive,0.05,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674,50,15,0.3,15,theta_144,17.77115896825399,17.77115896825399,3,mixed,none,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,100,5,0.05,22,theta_223,18.94918944444446,18.94918944444446,5,mixed,none,0.1,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,100,5,0.05,19,theta_175,19.27215119047606,19.27215119047606,5,DE/rand,fixed,0.05,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,100,10,0.1,23,theta_234,20.60981404761904,20.60981404761904,5,mixed,fixed,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,100,10,0.1,3,theta_037,16.20947579365085,16.20947579365085,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_high_corr_normal_low_vol_r03_s20260698.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,100,20,0.2,5,theta_047,17.913739920634786,17.913739920634786,2,DE/best,adaptive,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,100,20,0.2,3,theta_037,21.561683333333338,21.561683333333338,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,100,30,0.3,3,theta_037,17.593939523809514,17.593939523809514,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k30_low_corr_normal_low_vol_r01_s20260721.txt,FullSelector,SelectorAblation_FullSelector_ECMADE_MOO
