split,instance,assets,K,k_ratio,theta_index,theta_id,predicted_score,predicted_C_LabelScore,S,operator,migration,elite_ratio,stagnation_threshold,path,selector_ablation_variant,method_name
test,syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637,50,3,0.05,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638,50,3,0.05,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649,50,5,0.1,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650,50,5,0.1,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661,50,10,0.2,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662,50,10,0.2,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673,50,15,0.3,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674,50,15,0.3,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,100,5,0.05,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,100,5,0.05,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,100,10,0.1,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,100,10,0.1,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_high_corr_normal_low_vol_r03_s20260698.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,100,20,0.2,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,100,20,0.2,3,theta_037,15.777044503715548,15.777044503715548,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710.txt,NoInstanceFeatures,SelectorAblation_NoInstanceFeatures_ECMADE_MOO
