split,instance,assets,K,k_ratio,theta_index,theta_id,predicted_score,predicted_C_LabelScore,S,operator,migration,elite_ratio,stagnation_threshold,path,selector_ablation_variant,method_name
test,syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637,50,3,0.05,1,theta_011,12.603071479167545,12.603071479167545,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
test,syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638,50,3,0.05,1,theta_011,12.359881727420357,12.359881727420357,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
test,syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649,50,5,0.1,1,theta_011,12.50079101343799,12.50079101343799,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
test,syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650,50,5,0.1,1,theta_011,12.571968459815404,12.571968459815404,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
test,syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661,50,10,0.2,1,theta_011,12.545549721313751,12.545549721313751,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
test,syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662,50,10,0.2,1,theta_011,12.59662160412359,12.59662160412359,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
test,syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673,50,15,0.3,1,theta_011,12.544681383143164,12.544681383143164,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
test,syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674,50,15,0.3,1,theta_011,12.597438485371814,12.597438485371814,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,100,5,0.05,1,theta_011,12.51724080561432,12.51724080561432,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,100,5,0.05,1,theta_011,12.575682438019289,12.575682438019289,2,DE/rand,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686.txt,NoThetaFeatures,SelectorAblation_NoThetaFeatures_ECMADE_MOO
