split,instance,assets,K,k_ratio,theta_index,theta_id,predicted_score,predicted_C_LabelScore,S,operator,migration,elite_ratio,stagnation_threshold,path,selector_ablation_variant,method_name
test,syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637,50,3,0.05,18,theta_170,17.440914235209235,17.440914235209235,5,DE/rand,none,0.1,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638,50,3,0.05,7,theta_076,15.557168730158724,15.557168730158724,2,mixed,adaptive,0.05,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649,50,5,0.1,11,theta_089,17.264311904761914,17.264311904761914,3,DE/rand,none,0.1,10,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650,50,5,0.1,7,theta_076,15.734793730158723,15.734793730158723,2,mixed,adaptive,0.05,5,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661,50,10,0.2,15,theta_144,17.35065638888887,17.35065638888887,3,mixed,none,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662,50,10,0.2,4,theta_045,16.294490808080813,16.294490808080813,2,DE/best,fixed,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673,50,15,0.3,9,theta_084,14.763573492063495,14.763573492063495,3,DE/rand,none,0.01,20,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674,50,15,0.3,14,theta_132,16.274921587301584,16.274921587301584,3,DE/best,adaptive,0.05,20,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,100,5,0.05,19,theta_175,15.608097539682545,15.608097539682545,5,DE/rand,fixed,0.05,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,100,5,0.05,4,theta_045,17.06537790764792,17.06537790764792,2,DE/best,fixed,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,100,10,0.1,11,theta_089,17.557163333333328,17.557163333333328,3,DE/rand,none,0.1,10,data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,100,10,0.1,23,theta_234,16.833778690476183,16.833778690476183,5,mixed,fixed,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_high_corr_normal_low_vol_r03_s20260698.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,100,20,0.2,2,theta_034,17.01303309523808,17.01303309523808,2,DE/best,none,0.1,5,data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,100,20,0.2,24,theta_237,18.344986904761917,18.344986904761917,5,mixed,adaptive,0.01,20,data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,100,30,0.3,16,theta_159,17.663518650793673,17.663518650793673,3,mixed,adaptive,0.05,20,data\synthetic_constrained_portfolio\instances\test\syn_n100_k30_low_corr_normal_low_vol_r01_s20260721.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,100,30,0.3,24,theta_237,16.923833333333338,16.923833333333338,5,mixed,adaptive,0.01,20,data\synthetic_constrained_portfolio\instances\test\syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733,200,10,0.05,15,theta_144,17.554926695526703,17.554926695526703,3,mixed,none,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
