metric,direction,paired_unit,n_paired_units,primary,baseline,alternative,median_signed_improvement,wins,ties,losses,wilcoxon_stat,raw_p_value,alpha,holm_p_value,significant_after_holm
RankScore,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoInstanceFeatures_ECMADE_MOO,primary better than baseline,0.5,22,1,9,325.0,0.06393534435745782,0.05,0.19180603307237346,False
RankScore,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoThetaFeatures_ECMADE_MOO,primary better than baseline,-0.375,12,0,20,182.5,0.9363326295218427,0.05,1.0,False
RankScore,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_RandomizedLabels_ECMADE_MOO,primary better than baseline,-0.3333333333333335,10,1,21,128.5,0.9904532515285475,0.05,1.0,False
HV_mean,max,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoInstanceFeatures_ECMADE_MOO,primary better than baseline,0.0,4,15,13,45.0,0.9338150024414062,0.05,1.0,False
HV_mean,max,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoThetaFeatures_ECMADE_MOO,primary better than baseline,-0.008534314740768156,9,0,23,143.0,0.989188002422452,0.05,1.0,False
HV_mean,max,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_RandomizedLabels_ECMADE_MOO,primary better than baseline,-0.006746169476880004,7,3,22,122.0,0.9817322865128517,0.05,1.0,False
IGD_mean,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoInstanceFeatures_ECMADE_MOO,primary better than baseline,0.0,6,15,11,44.0,0.9398956298828125,0.05,1.0,False
IGD_mean,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoThetaFeatures_ECMADE_MOO,primary better than baseline,-0.005890879082241328,10,0,22,173.0,0.9563960714731365,0.05,1.0,False
IGD_mean,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_RandomizedLabels_ECMADE_MOO,primary better than baseline,-0.006494799062341738,7,3,22,104.0,0.9939453694969416,0.05,1.0,False
PF_Overlap_mean,max,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoInstanceFeatures_ECMADE_MOO,primary better than baseline,0.0,10,15,7,77.0,0.5,0.05,1.0,False
PF_Overlap_mean,max,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoThetaFeatures_ECMADE_MOO,primary better than baseline,-0.09986111111111112,5,0,27,30.0,0.9999995951075107,0.05,1.0,False
PF_Overlap_mean,max,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_RandomizedLabels_ECMADE_MOO,primary better than baseline,-0.04722222222222222,9,3,20,77.0,0.9992363192141056,0.05,1.0,False
PF_Drift_mean,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoInstanceFeatures_ECMADE_MOO,primary better than baseline,0.0,8,15,9,53.0,0.8683395385742188,0.05,1.0,False
PF_Drift_mean,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoThetaFeatures_ECMADE_MOO,primary better than baseline,-0.021396641085540055,5,0,27,38.0,0.9999986682087183,0.05,1.0,False
PF_Drift_mean,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_RandomizedLabels_ECMADE_MOO,primary better than baseline,-0.010071873285378891,7,3,22,65.0,0.9997506160289049,0.05,1.0,False
Diversity_mean,max,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoInstanceFeatures_ECMADE_MOO,primary better than baseline,0.0,6,15,11,46.0,0.9272842407226562,0.05,0.9272842407226562,False
Diversity_mean,max,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoThetaFeatures_ECMADE_MOO,primary better than baseline,0.054143042933793184,23,0,9,419.0,0.0014737045858055353,0.05,0.004421113757416606,True
Diversity_mean,max,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_RandomizedLabels_ECMADE_MOO,primary better than baseline,0.019933725861559837,21,3,8,293.0,0.052779899910092354,0.05,0.10555979982018471,False
Runtime_mean,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoInstanceFeatures_ECMADE_MOO,primary better than baseline,3.993913903333334,31,0,1,526.0,6.984919309616089e-10,0.05,2.0954757928848267e-09,True
Runtime_mean,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_NoThetaFeatures_ECMADE_MOO,primary better than baseline,2.648487321666667,31,0,1,526.0,6.984919309616089e-10,0.05,2.0954757928848267e-09,True
Runtime_mean,min,split-instance-K,32,SelectorAblation_FullSelector_ECMADE_MOO,SelectorAblation_RandomizedLabels_ECMADE_MOO,primary better than baseline,1.0315729166666667,24,0,8,426.0,0.0008968191687017679,0.05,0.0008968191687017679,True
