variant,split,instance,K,method,run,theta_id,S,operator,migration,elite_ratio,stagnation_threshold,Runtime,PF_Size,run_dir,HV,IGD,PF_Overlap,Diversity,PF_Drift
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,1,theta_223,5.0,mixed,none,0.1,5.0,4.5113423,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_001,1.0241391977231928,0.02732581549773423,0.3,1.1659430416978058,0.029379952494393527
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,2,theta_223,5.0,mixed,none,0.1,5.0,2.9252612,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_002,0.915206816535592,0.13047734771578046,0.03333333333333333,1.2331296598714538,0.029379952494393527
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,3,theta_223,5.0,mixed,none,0.1,5.0,5.7085478,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_003,1.0176707248732135,0.030779249928161664,0.25833333333333336,1.2843552623062187,0.029379952494393527
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,4,theta_223,5.0,mixed,none,0.1,5.0,5.1362969,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_004,1.0403371579783633,0.011776929703849985,0.7916666666666666,1.1916436711697944,0.029379952494393527
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,5,theta_223,5.0,mixed,none,0.1,5.0,3.6484293,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_005,1.058822172001645,0.004663898929369934,1.0,1.1951685906111869,0.029379952494393527
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,6,theta_223,5.0,mixed,none,0.1,5.0,4.3612516,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_006,1.0470008203974548,0.00702113788343845,0.9416666666666667,1.2446916584564933,0.029379952494393527
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,7,theta_223,5.0,mixed,none,0.1,5.0,4.3501758,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_007,1.050771488717086,0.005589579122386892,0.9916666666666667,1.1531622407705426,0.029379952494393527
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,8,theta_223,5.0,mixed,none,0.1,5.0,3.9530262,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_008,1.0575821385864388,0.004771480462279427,0.9916666666666667,1.2143872562817086,0.029379952494393527
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,9,theta_223,5.0,mixed,none,0.1,5.0,4.1628945,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_009,1.056155826922221,0.00523318571386934,0.9916666666666667,1.2059902083411524,0.029379952494393527
FullSelector,test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,10,theta_223,5.0,mixed,none,0.1,5.0,4.428179,100,producer_outputs/outputs/selector_level_ablation_20260728/raw_final_test/FullSelector/test/syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685/K_05/SelectorAblation_FullSelector_ECMADE_MOO/run_010,1.05855686041028,0.005663539588221651,0.9916666666666667,1.1509079380174092,0.029379952494393527
