split,instance,K,method,HV,IGD,PF_Overlap,PF_Drift,Diversity,Runtime,rank_HV,rank_IGD,rank_PF_Overlap,rank_PF_Drift,rank_Runtime,LabelScore,ThetaRank,source_theta_id,source_operator,source_migration,source_elite_ratio,source_archive_strategy,source_constraint_handling,subpops,operatorMode,exchangeMode,eliteRatio,stagnationThreshold,theta,archiveLimitFactor,consensusArchive,archiveConsWeight,bestGuide,minSubpopSize,C_LabelScore,C_ThetaRank
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_067,1.1038199040328849,0.0216185742356342,0.7677777777777778,0.0360907705790198,1.145589143852152,5.6292243766666665,2.0,2.0,3.0,3.0,20.0,6.0,4,theta_067,mixed,fixed,5%,crowding-pruned,repair+feasible-first,2,mixed,paper,0.05,5,0.0769230769230769,5,0,0,rank,1,2.5999999999999996,1
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_076,1.1038199040328849,0.0216185742356342,0.7677777777777778,0.0360907705790198,1.145589143852152,3.84890461,2.0,2.0,3.0,3.0,8.0,3.6,1,theta_076,mixed,adaptive,5%,crowding-pruned,repair+feasible-first,2,mixed,stable,0.05,5,0.0769230769230769,5,0,0,rank,1,2.5999999999999996,2
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_078,1.1038199040328849,0.0216185742356342,0.7677777777777778,0.0360907705790198,1.145589143852152,3.9024201033333337,2.0,2.0,3.0,3.0,9.0,3.8,2,theta_078,mixed,adaptive,5%,crowding-pruned,repair+feasible-first,2,mixed,stable,0.05,20,0.0769230769230769,5,0,0,rank,1,2.5999999999999996,3
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_200,1.0966205147490904,0.0234822253082013,0.788888888888889,0.0343262952705158,1.1913745349646594,10.00610585,8.0,4.0,1.0,1.0,24.0,7.6,5,theta_200,DE/best,fixed,1%,crowding-pruned,repair+feasible-first,5,best2,paper,0.01,10,0.0769230769230769,5,0,0,rank,1,3.0,4
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_011,1.1029571027899046,0.0257834311124756,0.7511111111111112,0.0362884136619097,1.121534122019386,2.57177233,4.0,5.0,5.0,5.0,1.0,4.0,3,theta_011,DE/rand,fixed,1%,crowding-pruned,repair+feasible-first,2,rand2,paper,0.01,10,0.0769230769230769,5,0,0,rank,1,4.8,5
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_223,1.098826141994033,0.0272766760919989,0.6830555555555555,0.0453009170054572,1.1326901404715273,9.35264679,6.0,7.0,12.0,14.0,22.0,12.2,12,theta_223,mixed,none,10%,crowding-pruned,repair+feasible-first,5,mixed,none,0.1,5,0.0769230769230769,5,0,0,rank,1,10.4,6
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_234,1.098826141994033,0.0272766760919989,0.6830555555555555,0.0453009170054572,1.1326901404715273,9.376754313333333,6.0,7.0,12.0,14.0,23.0,12.4,13,theta_234,mixed,fixed,10%,crowding-pruned,repair+feasible-first,5,mixed,paper,0.1,20,0.0769230769230769,5,0,0,rank,1,10.4,7
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_237,1.098826141994033,0.0272766760919989,0.6830555555555555,0.0453009170054572,1.1326901404715273,4.397549926666667,6.0,7.0,12.0,14.0,14.0,10.6,8,theta_237,mixed,adaptive,1%,crowding-pruned,repair+feasible-first,5,mixed,stable,0.01,20,0.0769230769230769,5,0,0,rank,1,10.4,8
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_034,1.093538483665573,0.0292471939387326,0.6572222222222223,0.0389977152686072,1.1602604785377422,3.151905046666667,15.5,10.5,15.5,7.5,3.0,10.4,7,theta_034,DE/best,none,10%,crowding-pruned,repair+feasible-first,2,best2,none,0.1,5,0.0769230769230769,5,0,0,rank,1,12.1,9
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_037,1.093538483665573,0.0292471939387326,0.6572222222222223,0.0389977152686072,1.1602604785377422,3.12565099,15.5,10.5,15.5,7.5,2.0,10.2,6,theta_037,DE/best,fixed,1%,crowding-pruned,repair+feasible-first,2,best2,paper,0.01,5,0.0769230769230769,5,0,0,rank,1,12.1,10
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_045,1.093538483665573,0.0292471939387326,0.6572222222222223,0.0389977152686072,1.1602604785377422,3.6570354366666673,15.5,10.5,15.5,7.5,6.0,11.0,9,theta_045,DE/best,fixed,10%,crowding-pruned,repair+feasible-first,2,best2,paper,0.1,20,0.0769230769230769,5,0,0,rank,1,12.1,11
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_047,1.093538483665573,0.0292471939387326,0.6572222222222223,0.0389977152686072,1.1602604785377422,4.856598396666668,15.5,10.5,15.5,7.5,18.0,13.4,15,theta_047,DE/best,adaptive,1%,crowding-pruned,repair+feasible-first,2,best2,stable,0.01,10,0.0769230769230769,5,0,0,rank,1,12.1,12
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_144,1.0947345607098171,0.029496631210113,0.7322222222222223,0.0459326133815965,1.1586479104780716,5.935552050000001,12.5,13.5,6.5,16.5,21.0,14.0,16,theta_144,mixed,none,10%,crowding-pruned,repair+feasible-first,3,mixed,none,0.1,20,0.0769230769230769,5,0,0,rank,1,12.100000000000001,13
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_159,1.0947345607098171,0.029496631210113,0.7322222222222223,0.0459326133815965,1.1586479104780716,4.483057496666668,12.5,13.5,6.5,16.5,16.0,13.0,14,theta_159,mixed,adaptive,5%,crowding-pruned,repair+feasible-first,3,mixed,stable,0.05,20,0.0769230769230769,5,0,0,rank,1,12.100000000000001,14
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_084,1.0961445150790583,0.0324713184213628,0.6458333333333335,0.0416738148776956,1.1187125615196527,3.23449153,10.0,16.0,19.0,11.0,4.0,12.0,10,theta_084,DE/rand,none,1%,crowding-pruned,repair+feasible-first,3,rand2,none,0.01,20,0.0769230769230769,5,0,0,rank,1,14.2,15
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_086,1.0961445150790583,0.0324713184213628,0.6458333333333335,0.0416738148776956,1.1187125615196527,3.35321028,10.0,16.0,19.0,11.0,5.0,12.2,11,theta_086,DE/rand,none,5%,crowding-pruned,repair+feasible-first,3,rand2,none,0.05,10,0.0769230769230769,5,0,0,rank,1,14.2,16
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_089,1.0961445150790583,0.0324713184213628,0.6458333333333335,0.0416738148776956,1.1187125615196527,4.539525113333332,10.0,16.0,19.0,11.0,17.0,14.6,17,theta_089,DE/rand,none,10%,crowding-pruned,repair+feasible-first,3,rand2,none,0.1,10,0.0769230769230769,5,0,0,rank,1,14.2,17
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_118,1.0915592447143794,0.0397410134379962,0.6988888888888888,0.0515501585041695,1.1313197971085505,3.9947907900000006,19.0,19.0,9.0,23.0,12.0,16.4,19,theta_118,DE/best,fixed,1%,crowding-pruned,repair+feasible-first,3,best2,paper,0.01,5,0.0769230769230769,5,0,0,rank,1,17.2,18
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_131,1.0915592447143794,0.0397410134379962,0.6988888888888888,0.0515501585041695,1.1313197971085505,4.125969513333334,19.0,19.0,9.0,23.0,13.0,16.6,20,theta_131,DE/best,adaptive,5%,crowding-pruned,repair+feasible-first,3,best2,stable,0.05,10,0.0769230769230769,5,0,0,rank,1,17.2,19
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_132,1.0915592447143794,0.0397410134379962,0.6988888888888888,0.0515501585041695,1.1313197971085505,3.762257973333333,19.0,19.0,9.0,23.0,7.0,15.4,18,theta_132,DE/best,adaptive,5%,crowding-pruned,repair+feasible-first,3,best2,stable,0.05,20,0.0769230769230769,5,0,0,rank,1,17.2,20
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_164,1.0728829517877796,0.0477638375281651,0.4477777777777778,0.0507689547261536,1.1212725862445725,3.910885200000001,22.5,22.5,22.5,19.5,11.0,19.6,22,theta_164,DE/rand,none,1%,crowding-pruned,repair+feasible-first,5,rand2,none,0.01,10,0.0769230769230769,5,0,0,rank,1,21.6,21
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_170,1.0728829517877796,0.0477638375281651,0.4477777777777778,0.0507689547261536,1.1212725862445725,3.907426933333333,22.5,22.5,22.5,19.5,10.0,19.4,21,theta_170,DE/rand,none,10%,crowding-pruned,repair+feasible-first,5,rand2,none,0.1,10,0.0769230769230769,5,0,0,rank,1,21.6,22
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_175,1.0728829517877796,0.0477638375281651,0.4477777777777778,0.0507689547261536,1.1212725862445725,4.403568643333333,22.5,22.5,22.5,19.5,15.0,20.4,23,theta_175,DE/rand,fixed,5%,crowding-pruned,repair+feasible-first,5,rand2,paper,0.05,5,0.0769230769230769,5,0,0,rank,1,21.6,23
Training,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_189,1.0728829517877796,0.0477638375281651,0.4477777777777778,0.0507689547261536,1.1212725862445725,5.0170425100000005,22.5,22.5,22.5,19.5,19.0,21.2,24,theta_189,DE/rand,adaptive,10%,crowding-pruned,repair+feasible-first,5,rand2,stable,0.1,20,0.0769230769230769,5,0,0,rank,1,21.6,24
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_067,1.09947974693787,0.0099351251827428,0.8922222222222221,0.0186045165555386,1.031534598178239,6.035130230000001,2.0,2.0,2.0,2.0,21.0,5.8,4,theta_067,mixed,fixed,5%,crowding-pruned,repair+feasible-first,2,mixed,paper,0.05,5,0.0769230769230769,5,0,0,rank,1,2.0,1
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_076,1.09947974693787,0.0099351251827428,0.8922222222222221,0.0186045165555386,1.031534598178239,3.6928911266666673,2.0,2.0,2.0,2.0,8.0,3.2,2,theta_076,mixed,adaptive,5%,crowding-pruned,repair+feasible-first,2,mixed,stable,0.05,5,0.0769230769230769,5,0,0,rank,1,2.0,2
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_078,1.09947974693787,0.0099351251827428,0.8922222222222221,0.0186045165555386,1.031534598178239,3.648743616666666,2.0,2.0,2.0,2.0,7.0,3.0,1,theta_078,mixed,adaptive,5%,crowding-pruned,repair+feasible-first,2,mixed,stable,0.05,20,0.0769230769230769,5,0,0,rank,1,2.0,3
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_011,1.099300243870112,0.0106002426224621,0.8738888888888888,0.020832662022811,1.0369796677914942,2.392307006666667,4.0,4.0,4.0,4.0,1.0,3.4,3,theta_011,DE/rand,fixed,1%,crowding-pruned,repair+feasible-first,2,rand2,paper,0.01,10,0.0769230769230769,5,0,0,rank,1,4.0,4
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_144,1.095546920451116,0.0140424239358774,0.8261111111111111,0.0209687944912057,1.0275587894646985,5.595559123333334,5.5,5.5,5.5,5.5,20.0,8.4,8,theta_144,mixed,none,10%,crowding-pruned,repair+feasible-first,3,mixed,none,0.1,20,0.0769230769230769,5,0,0,rank,1,5.5,5
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_159,1.095546920451116,0.0140424239358774,0.8261111111111111,0.0209687944912057,1.0275587894646985,4.483186186666667,5.5,5.5,5.5,5.5,17.0,7.8,5,theta_159,mixed,adaptive,5%,crowding-pruned,repair+feasible-first,3,mixed,stable,0.05,20,0.0769230769230769,5,0,0,rank,1,5.5,6
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_084,1.092163537021846,0.0156986399546582,0.7897222222222222,0.0247995706692328,1.0210427319198867,3.1211321733333337,8.0,8.0,12.0,8.0,5.0,8.2,7,theta_084,DE/rand,none,1%,crowding-pruned,repair+feasible-first,3,rand2,none,0.01,20,0.0769230769230769,5,0,0,rank,1,9.2,7
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_086,1.092163537021846,0.0156986399546582,0.7897222222222222,0.0247995706692328,1.0210427319198867,3.061009746666666,8.0,8.0,12.0,8.0,4.0,8.0,6,theta_086,DE/rand,none,5%,crowding-pruned,repair+feasible-first,3,rand2,none,0.05,10,0.0769230769230769,5,0,0,rank,1,9.2,8
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_089,1.092163537021846,0.0156986399546582,0.7897222222222222,0.0247995706692328,1.0210427319198867,4.1493317733333335,8.0,8.0,12.0,8.0,15.0,10.2,9,theta_089,DE/rand,none,10%,crowding-pruned,repair+feasible-first,3,rand2,none,0.1,10,0.0769230769230769,5,0,0,rank,1,9.2,9
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_164,1.0898230432784544,0.0164538190656874,0.7266666666666667,0.0250695707367916,1.0278106242852203,3.861625306666667,12.5,11.5,18.5,11.5,10.0,12.8,10,theta_164,DE/rand,none,1%,crowding-pruned,repair+feasible-first,5,rand2,none,0.01,10,0.0769230769230769,5,0,0,rank,1,13.8,10
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_170,1.0898230432784544,0.0164538190656874,0.7266666666666667,0.0250695707367916,1.0278106242852203,4.3001401066666665,12.5,11.5,18.5,11.5,16.0,14.0,12,theta_170,DE/rand,none,10%,crowding-pruned,repair+feasible-first,5,rand2,none,0.1,10,0.0769230769230769,5,0,0,rank,1,13.8,11
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_175,1.0898230432784544,0.0164538190656874,0.7266666666666667,0.0250695707367916,1.0278106242852203,4.097053466666668,12.5,11.5,18.5,11.5,14.0,13.6,11,theta_175,DE/rand,fixed,5%,crowding-pruned,repair+feasible-first,5,rand2,paper,0.05,5,0.0769230769230769,5,0,0,rank,1,13.8,12
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_189,1.0898230432784544,0.0164538190656874,0.7266666666666667,0.0250695707367916,1.0278106242852203,4.564226363333333,12.5,11.5,18.5,11.5,19.0,14.6,13,theta_189,DE/rand,adaptive,10%,crowding-pruned,repair+feasible-first,5,rand2,stable,0.1,20,0.0769230769230769,5,0,0,rank,1,13.8,13
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_200,1.0899341886935794,0.0178723826486547,0.7963888888888889,0.0261017981030209,1.0468675045550166,9.206473373333331,10.0,14.0,10.0,21.0,24.0,15.8,17,theta_200,DE/best,fixed,1%,crowding-pruned,repair+feasible-first,5,best2,paper,0.01,10,0.0769230769230769,5,0,0,rank,1,14.100000000000001,14
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_118,1.0853219050240184,0.021832980052717,0.8136111111111112,0.0255751008405783,1.0601286981106317,3.9324471066666655,19.0,19.0,8.0,19.0,12.0,15.4,16,theta_118,DE/best,fixed,1%,crowding-pruned,repair+feasible-first,3,best2,paper,0.01,5,0.0769230769230769,5,0,0,rank,1,15.7,15
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_131,1.0853219050240184,0.021832980052717,0.8136111111111112,0.0255751008405783,1.0601286981106317,3.8209299533333327,19.0,19.0,8.0,19.0,9.0,14.8,14,theta_131,DE/best,adaptive,5%,crowding-pruned,repair+feasible-first,3,best2,stable,0.05,10,0.0769230769230769,5,0,0,rank,1,15.7,16
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_132,1.0853219050240184,0.021832980052717,0.8136111111111112,0.0255751008405783,1.0601286981106317,3.908895463333334,19.0,19.0,8.0,19.0,11.0,15.2,15,theta_132,DE/best,adaptive,5%,crowding-pruned,repair+feasible-first,3,best2,stable,0.05,20,0.0769230769230769,5,0,0,rank,1,15.7,17
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_223,1.0869291198477238,0.0210902369052184,0.7666666666666667,0.0274519506910046,1.0196512161814024,9.095117163333333,16.0,16.0,15.0,23.0,23.0,18.6,23,theta_223,mixed,none,10%,crowding-pruned,repair+feasible-first,5,mixed,none,0.1,5,0.0769230769230769,5,0,0,rank,1,17.8,18
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_234,1.0869291198477238,0.0210902369052184,0.7666666666666667,0.0274519506910046,1.0196512161814024,9.032930653333333,16.0,16.0,15.0,23.0,22.0,18.4,22,theta_234,mixed,fixed,10%,crowding-pruned,repair+feasible-first,5,mixed,paper,0.1,20,0.0769230769230769,5,0,0,rank,1,17.8,19
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_237,1.0869291198477238,0.0210902369052184,0.7666666666666667,0.0274519506910046,1.0196512161814024,3.946220743333333,16.0,16.0,15.0,23.0,13.0,16.6,18,theta_237,mixed,adaptive,1%,crowding-pruned,repair+feasible-first,5,mixed,stable,0.01,20,0.0769230769230769,5,0,0,rank,1,17.8,20
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_034,1.0816920430723491,0.025811359590956,0.7011111111111111,0.0252987074055147,1.0163703622235574,2.8663499333333333,22.5,22.5,22.5,15.5,3.0,17.2,20,theta_034,DE/best,none,10%,crowding-pruned,repair+feasible-first,2,best2,none,0.1,5,0.0769230769230769,5,0,0,rank,1,20.4,21
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_037,1.0816920430723491,0.025811359590956,0.7011111111111111,0.0252987074055147,1.0163703622235574,2.8399373100000003,22.5,22.5,22.5,15.5,2.0,17.0,19,theta_037,DE/best,fixed,1%,crowding-pruned,repair+feasible-first,2,best2,paper,0.01,5,0.0769230769230769,5,0,0,rank,1,20.4,22
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_045,1.0816920430723491,0.025811359590956,0.7011111111111111,0.0252987074055147,1.0163703622235574,3.495641300000001,22.5,22.5,22.5,15.5,6.0,17.8,21,theta_045,DE/best,fixed,10%,crowding-pruned,repair+feasible-first,2,best2,paper,0.1,20,0.0769230769230769,5,0,0,rank,1,20.4,23
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_047,1.0816920430723491,0.025811359590956,0.7011111111111111,0.0252987074055147,1.0163703622235574,4.495599823333334,22.5,22.5,22.5,15.5,18.0,20.2,24,theta_047,DE/best,adaptive,1%,crowding-pruned,repair+feasible-first,2,best2,stable,0.01,10,0.0769230769230769,5,0,0,rank,1,20.4,24
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_118,1.0450592237781575,0.0134639746683221,0.8411111111111111,0.0247896289046419,1.183943106306345,3.93683385,4.0,4.0,4.0,14.0,10.0,7.2,2,theta_118,DE/best,fixed,1%,crowding-pruned,repair+feasible-first,3,best2,paper,0.01,5,0.0769230769230769,5,0,0,rank,1,7.0,1
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_131,1.0450592237781575,0.0134639746683221,0.8411111111111111,0.0247896289046419,1.183943106306345,3.969801663333333,4.0,4.0,4.0,14.0,12.0,7.6,3,theta_131,DE/best,adaptive,5%,crowding-pruned,repair+feasible-first,3,best2,stable,0.05,10,0.0769230769230769,5,0,0,rank,1,7.0,2
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_132,1.0450592237781575,0.0134639746683221,0.8411111111111111,0.0247896289046419,1.183943106306345,3.905145206666667,4.0,4.0,4.0,14.0,9.0,7.0,1,theta_132,DE/best,adaptive,5%,crowding-pruned,repair+feasible-first,3,best2,stable,0.05,20,0.0769230769230769,5,0,0,rank,1,7.0,3
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_144,1.0492642895587274,0.0131786678356939,0.8472222222222221,0.0265909987405799,1.1548099080426228,5.285626746666666,1.5,1.5,1.5,20.5,20.0,9.0,7,theta_144,mixed,none,10%,crowding-pruned,repair+feasible-first,3,mixed,none,0.1,20,0.0769230769230769,5,0,0,rank,1,7.199999999999999,4
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_159,1.0492642895587274,0.0131786678356939,0.8472222222222221,0.0265909987405799,1.1548099080426228,4.697658499999999,1.5,1.5,1.5,20.5,18.0,8.6,6,theta_159,mixed,adaptive,5%,crowding-pruned,repair+feasible-first,3,mixed,stable,0.05,20,0.0769230769230769,5,0,0,rank,1,7.199999999999999,5
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_084,1.0435281858042995,0.0160077142127253,0.8025,0.0236089841657878,1.1582686833649145,3.184567043333333,7.0,12.0,11.0,7.0,5.0,8.4,5,theta_084,DE/rand,none,1%,crowding-pruned,repair+feasible-first,3,rand2,none,0.01,20,0.0769230769230769,5,0,0,rank,1,9.200000000000001,6
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_086,1.0435281858042995,0.0160077142127253,0.8025,0.0236089841657878,1.1582686833649145,3.150247863333333,7.0,12.0,11.0,7.0,4.0,8.2,4,theta_086,DE/rand,none,5%,crowding-pruned,repair+feasible-first,3,rand2,none,0.05,10,0.0769230769230769,5,0,0,rank,1,9.200000000000001,7
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_089,1.0435281858042995,0.0160077142127253,0.8025,0.0236089841657878,1.1582686833649145,4.129840693333333,7.0,12.0,11.0,7.0,14.0,10.2,9,theta_089,DE/rand,none,10%,crowding-pruned,repair+feasible-first,3,rand2,none,0.1,10,0.0769230769230769,5,0,0,rank,1,9.200000000000001,8
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_200,1.0417491823594582,0.0157063709970904,0.7805555555555557,0.0205554140956578,1.177606048843183,9.26735319,12.0,10.0,13.0,5.0,22.0,12.4,12,theta_200,DE/best,fixed,1%,crowding-pruned,repair+feasible-first,5,best2,paper,0.01,10,0.0769230769230769,5,0,0,rank,1,9.8,9
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_011,1.0416669758580304,0.0176379571856435,0.8322222222222222,0.0252074546969274,1.1661795115660851,2.5229270966666664,13.0,14.0,6.0,16.0,1.0,10.0,8,theta_011,DE/rand,fixed,1%,crowding-pruned,repair+feasible-first,2,rand2,paper,0.01,10,0.0769230769230769,5,0,0,rank,1,12.0,10
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_164,1.0382739699982884,0.0144986309318548,0.7361111111111112,0.020487943871821,1.1836002140750952,3.96755305,19.5,7.5,22.5,2.5,11.0,12.6,14,theta_164,DE/rand,none,1%,crowding-pruned,repair+feasible-first,5,rand2,none,0.01,10,0.0769230769230769,5,0,0,rank,1,12.9,11
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_170,1.0382739699982884,0.0144986309318548,0.7361111111111112,0.020487943871821,1.1836002140750952,4.269102683333333,19.5,7.5,22.5,2.5,16.0,13.6,18,theta_170,DE/rand,none,10%,crowding-pruned,repair+feasible-first,5,rand2,none,0.1,10,0.0769230769230769,5,0,0,rank,1,12.9,12
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_175,1.0382739699982884,0.0144986309318548,0.7361111111111112,0.020487943871821,1.1836002140750952,4.21314383,19.5,7.5,22.5,2.5,15.0,13.4,17,theta_175,DE/rand,fixed,5%,crowding-pruned,repair+feasible-first,5,rand2,paper,0.05,5,0.0769230769230769,5,0,0,rank,1,12.9,13
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_189,1.0382739699982884,0.0144986309318548,0.7361111111111112,0.020487943871821,1.1836002140750952,4.754026103333333,19.5,7.5,22.5,2.5,19.0,14.2,19,theta_189,DE/rand,adaptive,10%,crowding-pruned,repair+feasible-first,5,rand2,stable,0.1,20,0.0769230769230769,5,0,0,rank,1,12.9,14
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_067,1.041889209150511,0.0177443882176672,0.8294444444444447,0.0263981963386227,1.187854340019469,8.105081546666668,10.0,16.0,8.0,18.0,21.0,14.6,20,theta_067,mixed,fixed,5%,crowding-pruned,repair+feasible-first,2,mixed,paper,0.05,5,0.0769230769230769,5,0,0,rank,1,13.0,15
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_076,1.041889209150511,0.0177443882176672,0.8294444444444447,0.0263981963386227,1.187854340019469,3.74863534,10.0,16.0,8.0,18.0,8.0,12.0,11,theta_076,mixed,adaptive,5%,crowding-pruned,repair+feasible-first,2,mixed,stable,0.05,5,0.0769230769230769,5,0,0,rank,1,13.0,16
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_078,1.041889209150511,0.0177443882176672,0.8294444444444447,0.0263981963386227,1.187854340019469,3.74252455,10.0,16.0,8.0,18.0,7.0,11.8,10,theta_078,mixed,adaptive,5%,crowding-pruned,repair+feasible-first,2,mixed,stable,0.05,20,0.0769230769230769,5,0,0,rank,1,13.0,17
