code_path,source_path,size_bytes
code/A_MPMO_NSGAII_v290.m,code/A_MPMO_NSGAII_v290.m,9532
code/ampmmo_reproduce.py,code/ampmmo_reproduce.py,41522
code/analyze_deb_c_dtlz1_7.m,code/analyze_deb_c_dtlz1_7.m,2745
code/analyze_deb_c_uf1_5.m,code/analyze_deb_c_uf1_5.m,2376
code/analyze_deb_c_uf6_10.m,code/analyze_deb_c_uf6_10.m,2702
code/analyze_deb_c_zdt.m,code/analyze_deb_c_zdt.m,1492
code/analyze_experiment_b_statistics.py,code/analyze_experiment_b_statistics.py,11706
code/analyze_experiment_c_replicate_audit_statistics.py,code/analyze_experiment_c_replicate_audit_statistics.py,5087
code/analyze_p1_mokp_config_comparison.py,code/analyze_p1_mokp_config_comparison.py,14387
code/analyze_p1_mokp_config_comparison_no_replicate_audit.py,code/analyze_p1_mokp_config_comparison_no_replicate_audit.py,1254
code/analyze_p1_mokp_rankscore_statistics_no_replicate_audit.py,code/analyze_p1_mokp_rankscore_statistics_no_replicate_audit.py,3987
code/analyze_p1_mokp_results.py,code/analyze_p1_mokp_results.py,16734
code/analyze_p1_rolling_market_results.py,code/analyze_p1_rolling_market_results.py,10206
code/analyze_real_market_ecmade_config_comparison.py,code/analyze_real_market_ecmade_config_comparison.py,16416
code/analyze_real_market_ecmade_config_statistics.py,code/analyze_real_market_ecmade_config_statistics.py,5497
code/analyze_real_market_ecmade_no_replicate_audit.py,code/analyze_real_market_ecmade_no_replicate_audit.py,11070
code/analyze_selector_level_ablation_final_test.py,code/analyze_selector_level_ablation_final_test.py,14150
code/analyze_stability_weighted_rank_no_replicate_audit.py,code/analyze_stability_weighted_rank_no_replicate_audit.py,8420
code/analyze_v290_all22_igd_population_matrix.m,code/analyze_v290_all22_igd_population_matrix.m,7031
code/analyze_v43_uf1_5_igd_matrix.m,code/analyze_v43_uf1_5_igd_matrix.m,6184
code/analyze_v43_uf1_5_nd_igd.m,code/analyze_v43_uf1_5_nd_igd.m,2584
code/analyze_v43_uf1_5_normalized_igd.m,code/analyze_v43_uf1_5_normalized_igd.m,2850
code/analyze_v43_uf1_5_pf_points.m,code/analyze_v43_uf1_5_pf_points.m,2330
code/annotate_tevc_red_data_comments.py,code/annotate_tevc_red_data_comments.py,7499
code/audit_experiment_c_replicate_selector.py,code/audit_experiment_c_replicate_selector.py,21006
code/audit_external_selector_assignment_dependency.py,code/audit_external_selector_assignment_dependency.py,7965
code/audit_no_replicate_data_existence_20260731.py,code/audit_no_replicate_data_existence_20260731.py,18950
code/audit_tevc_package_integrity.py,code/audit_tevc_package_integrity.py,4725
code/build_ecmade_best_parameters_docx.py,code/build_ecmade_best_parameters_docx.py,19874
code/build_ecmade_moo_parameter_architecture_docx.py,code/build_ecmade_moo_parameter_architecture_docx.py,14485
code/build_ecmade_moo_usage_docx.py,code/build_ecmade_moo_usage_docx.py,17700
code/build_experiment_a_code_and_fairness_docx.py,code/build_experiment_a_code_and_fairness_docx.py,13695
code/build_experiment_a_data_report_docx.py,code/build_experiment_a_data_report_docx.py,12451
code/build_experiment_a_data_word_report.py,code/build_experiment_a_data_word_report.py,29773
code/build_experiment_a_data_word_report_stats_v2.py,code/build_experiment_a_data_word_report_stats_v2.py,19616
code/build_experiment_a_setup_report.py,code/build_experiment_a_setup_report.py,19209
code/build_experiment_ab_cost_audit.py,code/build_experiment_ab_cost_audit.py,21337
code/build_experiment_b_a0707_style_docx.py,code/build_experiment_b_a0707_style_docx.py,20621
code/build_experiment_b_baseline_style_report_docx.py,code/build_experiment_b_baseline_style_report_docx.py,18561
code/build_experiment_b_comparison_report_docx.py,code/build_experiment_b_comparison_report_docx.py,18546
code/build_experiment_b_configuration_workbook.mjs,code/build_experiment_b_configuration_workbook.mjs,3695
code/build_experiment_b_paper_section.py,code/build_experiment_b_paper_section.py,9879
code/build_experiment_b_paper_section_zh_tw.py,code/build_experiment_b_paper_section_zh_tw.py,8895
code/build_experiment_c_cost_audit.py,code/build_experiment_c_cost_audit.py,12832
code/build_experiment_c_no_replicate_audit_report_zh.py,code/build_experiment_c_no_replicate_audit_report_zh.py,30656
code/build_experiment_c_stability_labels.py,code/build_experiment_c_stability_labels.py,3355
code/build_experiment_c_stability_report_docx.py,code/build_experiment_c_stability_report_docx.py,28293
code/build_experiment_c_stability_report_docx_zh.py,code/build_experiment_c_stability_report_docx_zh.py,16697
code/build_experiment_c_table_5_7_holdout_corrected.py,code/build_experiment_c_table_5_7_holdout_corrected.py,5729
code/build_external_no_replicate_assignments.py,code/build_external_no_replicate_assignments.py,6095
code/build_mokp_experiment_results_report_docx.py,code/build_mokp_experiment_results_report_docx.py,19940
code/build_mokp_experiment_results_report_docx_zh.py,code/build_mokp_experiment_results_report_docx_zh.py,12315
code/build_no_replicate_repro_manifest.py,code/build_no_replicate_repro_manifest.py,3990
code/build_nsga2_inventory.mjs,code/build_nsga2_inventory.mjs,37694
code/build_nsga2_reproduction_doc.py,code/build_nsga2_reproduction_doc.py,16077
code/build_nsga2_three_version_report.mjs,code/build_nsga2_three_version_report.mjs,12819
code/build_orlib_experiment_a_report.py,code/build_orlib_experiment_a_report.py,920
code/build_p0_real_market_validation_docx.py,code/build_p0_real_market_validation_docx.py,5350
code/build_p0_real_market_validation_package.py,code/build_p0_real_market_validation_package.py,14401
code/build_p1_mokp_experiment_c_global_theta_assignments.py,code/build_p1_mokp_experiment_c_global_theta_assignments.py,3768
code/build_p1_mokp_experiment_c_stability_assignments.py,code/build_p1_mokp_experiment_c_stability_assignments.py,6424
code/build_p1_mokp_feature_failure_reports.py,code/build_p1_mokp_feature_failure_reports.py,12702
code/build_p1_mokp_meta_transfer_assignments.py,code/build_p1_mokp_meta_transfer_assignments.py,4306
code/build_p1_rolling_market_cvar_sensitivity.py,code/build_p1_rolling_market_cvar_sensitivity.py,7158
code/build_pf_test_inventory.mjs,code/build_pf_test_inventory.mjs,15112
code/build_portfolio_meta_features.py,code/build_portfolio_meta_features.py,11442
code/build_real_market_config_protocol_section_5_6_4.py,code/build_real_market_config_protocol_section_5_6_4.py,11361
code/build_real_market_ecmade_config_assignments.py,code/build_real_market_ecmade_config_assignments.py,10739
code/build_real_market_no_replicate_cumulative_wealth.py,code/build_real_market_no_replicate_cumulative_wealth.py,3147
code/build_real_market_validation_report_zh_clean.py,code/build_real_market_validation_report_zh_clean.py,15734
code/build_real_market_validation_word_report.py,code/build_real_market_validation_word_report.py,19987
code/build_research_code_flow_docx.py,code/build_research_code_flow_docx.py,16043
code/build_selector_level_ablation_assignments.py,code/build_selector_level_ablation_assignments.py,9637
code/build_selector_level_ablation_report_zh.py,code/build_selector_level_ablation_report_zh.py,18585
code/build_synthetic_experiment_a_final_report_zh.py,code/build_synthetic_experiment_a_final_report_zh.py,16324
code/build_synthetic_experiment_a_report.py,code/build_synthetic_experiment_a_report.py,48315
code/build_synthetic_experiment_a_report_doc_with_explanations.py,code/build_synthetic_experiment_a_report_doc_with_explanations.py,11426
code/build_tevc_ablation_4_5.py,code/build_tevc_ablation_4_5.py,18967
code/build_tevc_ablation_6.py,code/build_tevc_ablation_6.py,11676
code/build_tevc_ablation_ordered_report_docx.py,code/build_tevc_ablation_ordered_report_docx.py,18657
code/build_tevc_ablation_ordered_report_docx_v2.py,code/build_tevc_ablation_ordered_report_docx_v2.py,33822
code/build_tevc_ablation_report_docx.py,code/build_tevc_ablation_report_docx.py,9204
code/build_tevc_cost_runtime_summary.py,code/build_tevc_cost_runtime_summary.py,6240
code/build_tevc_github_package.py,code/build_tevc_github_package.py,27990
code/build_tevc_github_package_replicate.py,code/build_tevc_github_package_replicate.py,8446
code/build_tevc_osf_zenodo_package.py,code/build_tevc_osf_zenodo_package.py,9539
code/build_tevc_p0_experiment_design.py,code/build_tevc_p0_experiment_design.py,21488
code/build_tevc_p0_requirement_tables.py,code/build_tevc_p0_requirement_tables.py,9913
code/build_tevc_p0_statistical_tests.py,code/build_tevc_p0_statistical_tests.py,11893
code/build_tevc_protocol_completion_package.py,code/build_tevc_protocol_completion_package.py,14430
code/build_tevc_red_data_mapping_docx.py,code/build_tevc_red_data_mapping_docx.py,23288
code/build_tevc_reproducibility_package.py,code/build_tevc_reproducibility_package.py,37163
code/build_tevc_submission_section_real_market_zh.py,code/build_tevc_submission_section_real_market_zh.py,26591
code/build_tevc_without_elite_injection_package.py,code/build_tevc_without_elite_injection_package.py,3763
code/build_theta_configuration_paper_table.py,code/build_theta_configuration_paper_table.py,3211
code/check_paper_locked_parameters.py,code/check_paper_locked_parameters.py,2348
code/check_r2020b_zdt_igd_variants.m,code/check_r2020b_zdt_igd_variants.m,3054
code/check_real_market_configured_ecmade_status.py,code/check_real_market_configured_ecmade_status.py,1442
code/compare_ecmade_first10_stability.py,code/compare_ecmade_first10_stability.py,10428
code/compare_ecmade_moo_tuning_subset.py,code/compare_ecmade_moo_tuning_subset.py,7927
code/compare_problem_definitions.m,code/compare_problem_definitions.m,1335
code/compute_tevc_adaptive_exchange_significance.py,code/compute_tevc_adaptive_exchange_significance.py,6364
code/compute_tevc_eaf_width_for_report.py,code/compute_tevc_eaf_width_for_report.py,7894
code/compute_tevc_subpopulation_significance.py,code/compute_tevc_subpopulation_significance.py,6332
code/diagnose_experiment_a_metrics.py,code/diagnose_experiment_a_metrics.py,4834
code/diagnose_r2020b_zdt_budget_alignment.m,code/diagnose_r2020b_zdt_budget_alignment.m,2424
code/download_market_universe_prices.py,code/download_market_universe_prices.py,14133
code/ecmade_mcvar.py,code/ecmade_mcvar.py,15951
code/ECMADE_MOO.m,code/ECMADE_MOO.m,22911
code/ecmade_moo.py,code/ecmade_moo.py,55409
code/ECMADE_MOO_KB.m,code/ECMADE_MOO_KB.m,25186
code/ECMADE_MOO_TUNE_CONSENSUS.m,code/ECMADE_MOO_TUNE_CONSENSUS.m,22926
code/ECMADE_MOO_TUNE_CONSERVATIVE.m,code/ECMADE_MOO_TUNE_CONSERVATIVE.m,22932
code/ECMADE_MOO_TUNE_DEFAULT.m,code/ECMADE_MOO_TUNE_DEFAULT.m,22924
code/ECMADE_MOO_TUNE_REFERENCE.m,code/ECMADE_MOO_TUNE_REFERENCE.m,22931
code/ecmade_table2_benchmarks.py,code/ecmade_table2_benchmarks.py,17063
code/ecmade_table3_components.py,code/ecmade_table3_components.py,31627
code/EnvironmentalSelectionNSGAII_v290.m,code/EnvironmentalSelectionNSGAII_v290.m,540
code/EnvironmentalSelectionTie_v290.m,code/EnvironmentalSelectionTie_v290.m,867
code/evaluate_problem_definitions_v290.m,code/evaluate_problem_definitions_v290.m,938
code/evaluate_problem_definitions_v43.m,code/evaluate_problem_definitions_v43.m,691
code/experiment_a_template_style_evidence.json,code/experiment_a_template_style_evidence.json,4833
code/fig5_ng_sweep.py,code/fig5_ng_sweep.py,22041
code/fig6_nc_sweep.py,code/fig6_nc_sweep.py,16954
code/finalize_tevc_osf_zenodo_package.py,code/finalize_tevc_osf_zenodo_package.py,6583
code/find_experiment_a_case_instances.py,code/find_experiment_a_case_instances.py,8188
code/find_table2.py,code/find_table2.py,406
code/GA_BoundaryDiagnostic_v290.m,code/GA_BoundaryDiagnostic_v290.m,1919
code/GA_DebBounded_v290.m,code/GA_DebBounded_v290.m,3814
code/generate_orlib_subset_manifest.py,code/generate_orlib_subset_manifest.py,2727
code/generate_synthetic_portfolio_instances.py,code/generate_synthetic_portfolio_instances.py,14800
code/generate_t2_v43_pf.m,code/generate_t2_v43_pf.m,1079
code/launch_bayesian_configuration_ecmade_moo.bat,code/launch_bayesian_configuration_ecmade_moo.bat,697
code/launch_meta_designed_ecmade_moo.bat,code/launch_meta_designed_ecmade_moo.bat,676
