method,instances,runs,mean_HV,mean_IGD,mean_PF_Overlap,mean_PF_Drift,mean_Diversity,mean_Runtime,mean_PF_Size,mean_PF_Feasible_Rate,mean_RankScore,mean_InstanceRank,first_place_instances,overall_rank_HV,overall_rank_IGD,overall_rank_PF_Overlap,overall_rank_PF_Drift,overall_rank_Diversity,overall_rank_Runtime,overall_RankScore
BayesianConfig_ECMADE_MOO,18,540,1.005666642270913,0.05745111559900202,0.22452981368622402,0.04255731549997791,0.4786128016986836,1.6263732322222222,71.65555555555555,1.0,3.2222222222222223,1.2777777777777777,14,2.0,2.0,2.0,5.0,6.0,2.0,3.1666666666666665
ECMADE_MOO,18,540,1.0056841293023977,0.05731265876844348,0.22502255488007938,0.04228018216728416,0.4780078408419357,2.240323206666667,71.73148148148148,1.0,4.12037037037037,2.5555555555555554,1,1.0,1.0,1.0,4.0,7.0,7.0,3.5
NSGAII,18,540,0.9338833718391244,0.089950539522464,0.09486154448337966,0.03755919178985186,0.325967696357502,1.6412731477777778,76.03333333333333,1.0,4.9907407407407405,3.6666666666666665,1,4.0,4.0,3.0,1.0,9.0,4.0,4.166666666666667
SPEA2,18,540,0.9364307086006805,0.08919558534704437,0.08363479668539658,0.04169755996064057,0.3654495176334362,3.4234188525925924,78.83518518518518,1.0,6.0092592592592595,5.166666666666667,0,3.0,3.0,4.0,3.0,8.0,9.0,5.0
RandomConfig_ECMADE_MOO,18,540,0.8948082888002611,0.13686631880780983,0.06193091693167964,0.052140735450876906,0.5642416717364485,1.9839923149999998,44.525925925925925,1.0,6.143518518518518,5.722222222222222,1,5.0,7.0,5.0,7.0,4.0,6.0,5.666666666666667
A_MPMO,18,540,0.8873514063570775,0.11569836144027192,0.03688930833311011,0.0474069757704185,0.3199934804355744,1.6336346596296296,74.91481481481482,1.0,7.00462962962963,7.222222222222222,0,6.0,5.0,7.0,6.0,10.0,3.0,6.166666666666667
MetaTransfer_ECMADE_MOO,18,540,0.8822110213875427,0.13730368965859127,0.039983727171811145,0.05399851350009519,0.5573342684830458,1.909660992962963,30.02407407407408,1.0,6.356481481481482,6.083333333333333,1,8.0,8.0,6.0,8.0,5.0,5.0,6.666666666666667
ExperimentC_StabilityAware_ECMADE_MOO,18,540,0.8866232019207073,0.139380146023803,0.011405720721617526,0.05700868914065517,0.6037300053667104,2.695147919074074,46.37037037037037,1.0,7.111111111111111,7.277777777777778,0,7.0,9.0,11.0,10.0,3.0,8.0,8.0
MOEAD,18,540,0.8613794534386219,0.13099237932378174,0.019458148388280447,0.0414442724963786,0.2058202909236696,4.456908297037037,62.39074074074074,1.0,8.481481481481481,9.972222222222221,0,11.0,6.0,8.0,2.0,12.0,11.0,8.333333333333334
ExperimentC_GlobalTheta034_ECMADE_MOO,18,540,0.8741448034448429,0.1706675378134507,0.012367923108507152,0.06068364856368327,0.7460184438647288,4.28784669425926,47.855555555555554,1.0,7.689814814814814,8.583333333333334,0,10.0,11.0,10.0,11.0,1.0,10.0,8.833333333333334
ExperimentC_GlobalTheta037_ECMADE_MOO,18,540,0.8750582649436331,0.1695208055567155,0.012797847160834095,0.06094457476605338,0.7404110639371725,8.08380984962963,47.47592592592593,1.0,7.837962962962964,9.472222222222221,0,9.0,10.0,9.0,12.0,2.0,12.0,9.0
GDE3,18,540,0.22881156197498653,0.6975147583012175,0.0,0.05572814496460294,0.2608563745234099,1.4472110624074075,4.281481481481482,1.0,9.032407407407408,11.0,0,12.0,12.0,12.0,9.0,11.0,1.0,9.5
