analysis,metric,metric_direction,paired_unit,paired_n,primary_method,baseline_method,alternative,zero_method,wins,ties,losses,median_difference,mean_difference,wilcoxon_statistic,raw_p_value,effect_size_paired_win_loss,difference_definition,multiplicity_scope,holm_adjusted_p_value,significant_0_05
real_market_official_20260808_secondary_endpoints,annual_net_return_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,21,0,12,0.008248156551902863,0.003590767251989365,226.0,0.33921037591062486,0.2727272727272727,ExperimentC_StabilityAware_ECMADE_MOO - BayesianConfig_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.33921037591062486,False
real_market_official_20260808_secondary_endpoints,annual_net_return_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,19,0,14,0.00884184814965644,0.010231680917709013,202.0,0.16549804504029453,0.15151515151515152,ExperimentC_StabilityAware_ECMADE_MOO - HandCrafted_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.33099609008058906,False
real_market_official_20260808_secondary_endpoints,annual_net_return_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,26,0,7,0.01438356320109957,0.019823834115484038,141.0,0.011631014058366418,0.5757575757575758,ExperimentC_StabilityAware_ECMADE_MOO - MetaDesigned_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.034893042175099254,True
real_market_official_20260808_secondary_endpoints,annual_volatility_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,16,0,17,-6.939738038480581e-05,-0.0003664964226551481,280.0,1.0,-0.030303030303030304,BayesianConfig_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.0,False
real_market_official_20260808_secondary_endpoints,annual_volatility_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,12,0,21,-0.0046775355346458936,-0.0048860934150344185,133.0,0.007389149162918329,-0.2727272727272727,HandCrafted_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.022167447488754988,True
real_market_official_20260808_secondary_endpoints,annual_volatility_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,17,0,16,7.464917674004923e-07,-0.0022531278884189002,212.0,0.22764195245690644,0.030303030303030304,MetaDesigned_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.4552839049138129,False
real_market_official_20260808_secondary_endpoints,sharpe_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,19,0,14,0.017369407354311583,-0.0041004038955196505,254.0,0.6464373976923525,0.15151515151515152,ExperimentC_StabilityAware_ECMADE_MOO - BayesianConfig_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.0,False
real_market_official_20260808_secondary_endpoints,sharpe_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,18,0,15,0.01815234612215688,-0.02473823045750345,266.0,0.8050345461815596,0.09090909090909091,ExperimentC_StabilityAware_ECMADE_MOO - HandCrafted_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.0,False
real_market_official_20260808_secondary_endpoints,sharpe_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,23,0,10,0.027053396528007312,0.021768058541238384,207.0,0.194807207910344,0.3939393939393939,ExperimentC_StabilityAware_ECMADE_MOO - MetaDesigned_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.584421623731032,False
real_market_official_20260808_secondary_endpoints,sortino_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,18,0,15,0.020995211603668906,-0.03559424664264771,246.0,0.5483312094584107,0.09090909090909091,ExperimentC_StabilityAware_ECMADE_MOO - BayesianConfig_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.0,False
real_market_official_20260808_secondary_endpoints,sortino_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,15,0,18,-0.007798127604505822,-0.05889346666690467,245.0,0.536590444855392,-0.09090909090909091,ExperimentC_StabilityAware_ECMADE_MOO - HandCrafted_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.0,False
real_market_official_20260808_secondary_endpoints,sortino_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,21,0,12,0.035456004470385716,0.019600066147115153,233.0,0.4059716397896409,0.2727272727272727,ExperimentC_StabilityAware_ECMADE_MOO - MetaDesigned_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.0,False
real_market_official_20260808_secondary_endpoints,max_drawdown_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,18,0,15,0.00030665506391239217,0.00011781315847521703,251.0,0.6088165012188256,0.09090909090909091,ExperimentC_StabilityAware_ECMADE_MOO - BayesianConfig_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.0,False
