metric,direction,paired_unit,n_paired_units,primary,baseline,alternative,median_signed_improvement,wins,ties,losses,wilcoxon_stat,raw_p_value,alpha,holm_p_value,significant_after_holm
RankScore,min,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,primary better than baseline,0.0,16,1,16,246.5,0.6282752194180972,0.05,1.0,False
RankScore,min,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,primary better than baseline,-0.27272727272727293,2,0,31,39.0,0.9999922045383997,0.05,1.0,False
RankScore,min,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,primary better than baseline,0.1818181818181812,19,2,12,296.5,0.17085935456019324,0.05,0.5125780636805797,False
annual_net_return_mean,max,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,primary better than baseline,-0.0014325576850808819,16,0,17,220.0,0.8601197217358276,0.05,1.0,False
annual_net_return_mean,max,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,primary better than baseline,0.0,8,16,9,63.0,0.741455078125,0.05,1.0,False
annual_net_return_mean,max,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,primary better than baseline,-0.002050914995513353,15,0,18,296.0,0.3957055724458769,0.05,1.0,False
sharpe_mean,max,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,primary better than baseline,0.010982926104394553,19,0,14,277.0,0.5281050169141963,0.05,1.0,False
sharpe_mean,max,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,primary better than baseline,0.0,6,16,11,43.0,0.945556640625,0.05,1.0,False
sharpe_mean,max,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,primary better than baseline,0.010982926104394553,19,0,14,307.0,0.32321869884617627,0.05,0.9696560965385288,False
sortino_mean,max,universe_window,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,primary better than baseline,-0.013913829053248228,15,0,18,250.0,0.7078618805389851,0.05,1.0,False
