method,theta_id,windows
BayesianConfig_ECMADE_MOO,theta_02,33
ExperimentC_StabilityAware_ECMADE_MOO,theta_034,9
ExperimentC_StabilityAware_ECMADE_MOO,theta_045,2
ExperimentC_StabilityAware_ECMADE_MOO,theta_144,5
ExperimentC_StabilityAware_ECMADE_MOO,theta_159,2
ExperimentC_StabilityAware_ECMADE_MOO,theta_170,4
ExperimentC_StabilityAware_ECMADE_MOO,theta_175,11
HandCrafted_ECMADE_MOO,hand-crafted,33
MetaDesigned_ECMADE_MOO,theta_01,3
MetaDesigned_ECMADE_MOO,theta_02,4
MetaDesigned_ECMADE_MOO,theta_13,2
MetaDesigned_ECMADE_MOO,theta_21,24
