cost_scenario,cost_rate,method,universe_windows,mean_annual_net_return,mean_net_return,mean_turnover,mean_cvar95_loss,mean_max_drawdown,mean_sharpe,mean_sortino,rank_annual_net_return
10bps,0.001,BayesianConfig_ECMADE_MOO,33,0.333712643861491,0.12603802464350497,0.517833519163085,0.034174490122029264,-0.1669698317293478,1.2666692716850767,2.1121506009145987,1.0
10bps,0.001,HandCrafted_ECMADE_MOO,33,0.32707666658505313,0.12437316115510852,0.5174455106573622,0.033606190001384706,-0.16430583510853863,1.2873070982470607,2.135449820938856,2.0
10bps,0.001,ExperimentC_StabilityAware_ECMADE_MOO,33,0.3219427031792904,0.12177284205606008,0.5279343161378037,0.033906795835171845,-0.16591039211994849,1.2512662029526722,2.072845850846494,3.0
10bps,0.001,MetaDesigned_ECMADE_MOO,33,0.31742993678010717,0.12031785292371613,0.5381257615639303,0.033995529814370304,-0.16650817912246044,1.2408008092483187,2.056956288124836,4.0
20bps,0.002,BayesianConfig_ECMADE_MOO,33,0.3324886413922051,0.1255201911243419,0.517833519163085,0.034174490122029264,-0.1669698317293478,1.2666692716850767,2.1121506009145987,1.0
20bps,0.002,HandCrafted_ECMADE_MOO,33,0.32586312507689064,0.12385571564445118,0.5174455106573622,0.033606190001384706,-0.16430583510853863,1.2873070982470607,2.135449820938856,2.0
20bps,0.002,ExperimentC_StabilityAware_ECMADE_MOO,33,0.320709291265399,0.12124490773992229,0.5279343161378037,0.033906795835171845,-0.16591039211994849,1.2512662029526722,2.072845850846494,3.0
20bps,0.002,MetaDesigned_ECMADE_MOO,33,0.3161714743310771,0.1197797271621522,0.5381257615639303,0.033995529814370304,-0.16650817912246044,1.2408008092483187,2.056956288124836,4.0
50bps,0.005,BayesianConfig_ECMADE_MOO,33,0.3288208470374153,0.12396669056685264,0.517833519163085,0.034174490122029264,-0.1669698317293478,1.2666692716850767,2.1121506009145987,1.0
50bps,0.005,HandCrafted_ECMADE_MOO,33,0.3222266857085686,0.12230337911247909,0.5174455106573622,0.033606190001384706,-0.16430583510853863,1.2873070982470607,2.135449820938856,2.0
50bps,0.005,ExperimentC_StabilityAware_ECMADE_MOO,33,0.31701341409248174,0.11966110479150888,0.5279343161378037,0.033906795835171845,-0.16591039211994849,1.2512662029526722,2.072845850846494,3.0
50bps,0.005,MetaDesigned_ECMADE_MOO,33,0.31240055992068105,0.11816534987746043,0.5381257615639303,0.033995529814370304,-0.16650817912246044,1.2408008092483187,2.056956288124836,4.0
