"analysis","primary_method","baseline_method","metric","paired_n","alternative","wins","ties","losses","median_difference","mean_difference","wilcoxon_statistic","raw_p_value","effect_size_paired_win_loss","difference_definition","metric_direction","holm_adjusted_p_value","significant_0_05","multiplicity_scope"
"real_market_six_algorithm","ECMADE_MOO","A_MPMO","annual_net_return_mean","33","two-sided","13","0","20","-0.016684307410729904","-0.005484251591820411","222.0","0.304337490350008","-0.21212121212121213","ECMADE_MOO - A_MPMO; positive favors primary","higher is better","0.913012471050024","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","GDE3","annual_net_return_mean","33","two-sided","13","0","20","-0.012948774049607703","-0.007045935134010925","230.0","0.3764748873654753","-0.21212121212121213","ECMADE_MOO - GDE3; positive favors primary","higher is better","0.913012471050024","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","MOEAD","annual_net_return_mean","33","two-sided","13","0","20","-0.008256517930243235","-0.020912304460956366","203.0","0.17108511831611395","-0.21212121212121213","ECMADE_MOO - MOEAD; positive favors primary","higher is better","0.6843404732644558","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","NSGAII","annual_net_return_mean","33","two-sided","13","0","20","-0.0133480922171616","-0.009705192413609443","191.0","0.11258278018794954","-0.21212121212121213","ECMADE_MOO - NSGAII; positive favors primary","higher is better","0.5629139009397477","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","SPEA2","annual_net_return_mean","33","two-sided","14","0","19","-0.010280684153591596","0.0009160936428486464","253.0","0.6337929000146687","-0.15151515151515152","ECMADE_MOO - SPEA2; positive favors primary","higher is better","0.913012471050024","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","A_MPMO","sharpe_mean","33","two-sided","14","0","19","-0.008293615501274942","0.006212401144469424","270.0","0.8600672783795744","-0.15151515151515152","ECMADE_MOO - A_MPMO; positive favors primary","higher is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","GDE3","sharpe_mean","33","two-sided","14","0","19","-0.02976804174862213","-0.023993686959100192","215.0","0.24908834253437817","-0.15151515151515152","ECMADE_MOO - GDE3; positive favors primary","higher is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","MOEAD","sharpe_mean","33","two-sided","17","0","16","0.0020499759334058343","-0.0047636097085927585","272.0","0.887851148378104","0.030303030303030304","ECMADE_MOO - MOEAD; positive favors primary","higher is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","NSGAII","sharpe_mean","33","two-sided","14","0","19","-0.025124919882508534","-0.004908949519887605","246.0","0.5483312094584107","-0.15151515151515152","ECMADE_MOO - NSGAII; positive favors primary","higher is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","SPEA2","sharpe_mean","33","two-sided","14","0","19","-0.007555728043821652","0.010930786763926949","271.0","0.8739403025247157","-0.15151515151515152","ECMADE_MOO - SPEA2; positive favors primary","higher is better","1.0","False","within analysis and metric across primary comparisons"
