cost_scenario,cost_rate,method,windows,mean_annual_net_return,mean_net_return,mean_turnover,mean_cvar95_loss,mean_max_drawdown,mean_sharpe,mean_sortino,rank_annual_net_return
10bps,0.001,MOEAD,33,0.34808877158444745,0.1302893510184185,0.5136190565393655,0.03485828405362462,-0.1695041972721726,1.2664061861257359,2.087630469583325,1.0
10bps,0.001,NSGAII,33,0.3368788479710617,0.12777003636357145,0.5125656610364367,0.034058253790735626,-0.16595743515999795,1.2665515259370308,2.0829580311029767,2.0
10bps,0.001,GDE3,33,0.33420390936715927,0.12638223430899143,0.5207474148377277,0.03393944609695807,-0.16623063974429528,1.2856362633762435,2.12207822370455,3.0
10bps,0.001,A_MPMO,33,0.33263760060220265,0.1256724121394059,0.5201153483704904,0.03414347788946161,-0.16735259495746227,1.255430175272674,2.067716873751173,4.0
10bps,0.001,ECMADE_MOO,33,0.3271466665095526,0.12313796105603556,0.5238100791099044,0.03380085459490297,-0.16706371949760815,1.2616425764171433,2.0709680899819816,5.0
10bps,0.001,SPEA2,33,0.3262494072880162,0.12363419200557946,0.5147121588241519,0.03402730486431145,-0.16713351913990032,1.2507117896532163,2.0610027668295836,6.0
20bps,0.002,MOEAD,33,0.34687125368472127,0.12977573196187914,0.5136190565393655,0.03485828405362462,-0.1695041972721726,1.2664061861257359,2.087630469583325,1.0
20bps,0.002,NSGAII,33,0.33566756253932645,0.12725747070253504,0.5125656610364367,0.034058253790735626,-0.16595743515999795,1.2665515259370308,2.0829580311029767,2.0
20bps,0.002,GDE3,33,0.33297884717575205,0.1258614868941537,0.5207474148377277,0.03393944609695807,-0.16623063974429528,1.2856362633762435,2.12207822370455,3.0
20bps,0.002,A_MPMO,33,0.3314104424734887,0.1251522967910354,0.5201153483704904,0.03414347788946161,-0.16735259495746227,1.255430175272674,2.067716873751173,4.0
20bps,0.002,ECMADE_MOO,33,0.32591892322414634,0.12261415097692566,0.5238100791099044,0.03380085459490297,-0.16706371949760815,1.2616425764171433,2.0709680899819816,5.0
20bps,0.002,SPEA2,33,0.3250388829578514,0.1231194798467553,0.5147121588241519,0.03402730486431145,-0.16713351913990032,1.2507117896532163,2.0610027668295836,6.0
50bps,0.005,MOEAD,33,0.34322281052697506,0.12823487479226103,0.5136190565393655,0.03485828405362462,-0.1695041972721726,1.2664061861257359,2.087630469583325,1.0
50bps,0.005,NSGAII,33,0.3320378904623018,0.12571977371942572,0.5125656610364367,0.034058253790735626,-0.16595743515999795,1.2665515259370308,2.0829580311029767,2.0
50bps,0.005,GDE3,33,0.3293079034342584,0.1242992446496405,0.5207474148377277,0.03393944609695807,-0.16623063974429528,1.2856362633762435,2.12207822370455,3.0
50bps,0.005,A_MPMO,33,0.3277332250704818,0.12359195074592394,0.5201153483704904,0.03414347788946161,-0.16735259495746227,1.255430175272674,2.067716873751173,4.0
50bps,0.005,ECMADE_MOO,33,0.32223993654333816,0.12104272073959595,0.5238100791099044,0.03380085459490297,-0.16706371949760815,1.2616425764171433,2.0709680899819816,5.0
50bps,0.005,SPEA2,33,0.32141152292161457,0.12157534337028285,0.5147121588241519,0.03402730486431145,-0.16713351913990032,1.2507117896532163,2.0610027668295836,6.0
