method,universe,window_id,run,assets,K,train_days,test_days,gross_return,net_return,annual_return,annual_net_return,annual_volatility,sharpe,sortino,max_drawdown,turnover,transaction_cost,runtime_sec,daily_return_days,cvar95_loss,mdd_from_daily_returns,rebalance_turnover,cost_scenario,cost_rate,scenario_transaction_cost,scenario_net_return,scenario_annual_net_return
A_MPMO,NASDAQ100,window_001,1,60,10,755,124,0.285176647373238,0.284176647373238,0.665100996964928,0.662469019515087,0.429679248057567,1.40068511942321,2.28786965194098,-0.296653774862593,1,0.001,2.4080454,124,0.051775127976472234,-0.2966537748625929,1.0,10bps,0.001,0.001,0.284176647373238,0.6624690195150882
A_MPMO,NASDAQ100,window_002,1,59,10,755,126,0.274435661590148,0.273435661590148,0.624186255532718,0.621638384209538,0.253900337485312,2.03796907385582,3.22097086776837,-0.1681973781122,1,0.001,2.2055783,126,0.03184624939017834,-0.16819737811219937,0.3518247601731289,10bps,0.001,0.0003518247601731289,0.27408383682997484,0.6232896232713896
A_MPMO,NASDAQ100,window_003,1,60,10,756,124,-0.480888875594865,-0.481888875594865,-0.736163108743485,-0.737194971732662,0.577989367316321,-2.01111952215953,-3.54720075013985,-0.486680561391191,1,0.001,2.2066354,124,0.07402842663827028,-0.4866805613911911,0.40726800530096235,10bps,0.001,0.0004072680053009624,-0.4812961436001659,-0.736583601425667
A_MPMO,NASDAQ100,window_004,1,60,10,756,125,-0.120378109507447,-0.121378109507447,-0.227851567698601,-0.229620227918643,0.394584234452296,-0.460442278479418,-0.781386817371313,-0.326859901472384,1,0.001,2.3307518,125,0.04807618475953539,-0.3268599014723842,0.8313341078804843,10bps,0.001,0.0008313341078804844,-0.12120944361532748,-0.2293220585696667
A_MPMO,NASDAQ100,window_005,1,60,10,755,123,0.361781499351569,0.360781499351569,0.88259406530824,0.879762820532212,0.291693778104117,2.31617853652604,3.54202309517944,-0.180778463094231,1,0.001,2.2113977,123,0.03714317239113856,-0.18077846309423062,0.2631286870773213,10bps,0.001,0.0002631286870773213,0.36151837066449166,0.8818488721192872
A_MPMO,NASDAQ100,window_006,1,60,10,753,125,0.185091753943611,0.184091753943611,0.408263697523309,0.405869079028685,0.192983247433042,1.87044058259003,3.15364084298039,-0.0822002971896365,1,0.001,2.1889424,125,0.022594947617703885,-0.08220029718963617,0.8669944634257164,10bps,0.001,0.0008669944634257164,0.18422475948018527,0.40618745812874235
A_MPMO,NASDAQ100,window_007,1,60,10,752,124,0.335567561505374,0.334567561505374,0.800468228363465,0.797729615829046,0.178019842105636,3.39526500318525,6.06317654728979,-0.0678651125940353,1,0.001,1.9505295,124,0.019246321106406283,-0.06786511259403538,0.38001775627069057,10bps,0.001,0.00038001775627069057,0.3351875437491033,0.7994272575310604
A_MPMO,NASDAQ100,window_008,1,60,10,752,126,0.156060198052448,0.155060198052448,0.336475181521064,0.334164061124959,0.285981639288653,1.15622060030604,1.69043857476404,-0.134804135246737,1,0.001,2.0189921,126,0.04016870201922673,-0.13480413524673718,0.23119866362907152,10bps,0.001,0.00023119866362907151,0.15582899938881892,0.33594067582815823
A_MPMO,NASDAQ100,window_009,1,59,10,752,122,0.250008907660921,0.249008907660921,0.585554496386811,0.58293556794712,0.375204497252876,1.4140735361363,1.890729439746,-0.238824373123537,1,0.001,2.1770777,122,0.052742819756485974,-0.23882437312353655,0.4342498136097527,10bps,0.001,0.0004342498136097527,0.24957465784731123,0.5844169528514822
A_MPMO,NASDAQ100,window_010,1,60,10,750,126,-0.0919849844474308,-0.0929849844474308,-0.175508731531067,-0.177323761562173,0.187164934383201,-0.93735898548629,-1.24742559530376,-0.149473632071821,1,0.001,2.1868061,126,0.028809525141983486,-0.14947363207182085,0.4487436832083619,10bps,0.001,0.0004487436832083619,-0.09243372813063917,-0.1763234621651495
A_MPMO,NASDAQ100,window_011,1,60,10,751,123,0.0719029462945282,0.0709029462945282,0.152874219367449,0.150671752517431,0.318443116017893,0.604978357095861,0.965097769066591,-0.158961762364096,1,0.001,2.2029557,123,0.04315444714771161,-0.1589617623640952,0.6089133951643557,10bps,0.001,0.0006089133951643558,0.07129403289936384,0.15153285109236636
A_MPMO,NASDAQ100,window_001,2,60,10,755,124,0.263912881158376,0.262912881158376,0.609590788697478,0.60700376854812,0.394924765661738,1.40213404393844,2.21515298158392,-0.271992688653921,1,0.001,2.1570263,124,0.04846226742532583,-0.27199268865392057,1.0,10bps,0.001,0.001,0.262912881158376,0.6070037685481213
A_MPMO,NASDAQ100,window_002,2,59,10,755,126,0.233082139170507,0.232082139170507,0.520491561941314,0.518026397662973,0.254804027858013,1.77217689849534,2.94270319767919,-0.177320847068793,1,0.001,2.0588848,126,0.031519796437665684,-0.17732084706879248,0.3198330172593188,10bps,0.001,0.0003198330172593188,0.23276230615324767,0.5197029034722738
A_MPMO,NASDAQ100,window_003,2,60,10,756,124,-0.481692079942024,-0.482692079942024,-0.736992067904037,-0.738022281274088,0.562327012329272,-2.08851301259119,-3.71918688229824,-0.488495247750867,1,0.001,2.189628,124,0.07196143250154785,-0.48849524775086706,0.49345859792815894,10bps,0.001,0.0004934585979281589,-0.48218553853995216,-0.73750069222356
