dataset,split,instance,assets,K,k_ratio,method,run,HV,IGD,PF_Overlap,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation,Diversity,Spacing,Archive_Size,Archive_Diversity,Archive_Spacing,run_dir
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,24,1.0820960059614035,0.005213628392417634,0.9083333333333333,0.6949917,100,1.0,1.0,1.9317880628477724e-16,1.1102230246251563e-15,1.9317880628477724e-16,1.1102230246251563e-15,1.2367609397160215,0.006717683808172162,94,1.2367609397160215,0.0067176838081721,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_024
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,20,1.081664264019287,0.005489339457606273,0.9333333333333333,0.6684615,100,1.0,1.0,2.9087843245179103e-16,1.1102230246251563e-15,2.9087843245179103e-16,1.1102230246251563e-15,1.2390422401615344,0.0056950758022918865,96,1.2390422401615344,0.0056950758022918,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_020
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,9,1.0827482171348806,0.0045663602011901455,0.9166666666666666,0.729373,100,1.0,1.0,2.4091839634365896e-16,1.1102230246251563e-15,2.4091839634365896e-16,1.1102230246251563e-15,1.2377729788911906,0.0051620473692457845,98,1.2377729788911906,0.0051620473692457,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_009
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,3,1.0790151680567193,0.006264485740844622,0.8666666666666667,0.8525435,100,1.0,1.0,2.1316282072803002e-16,1.1102230246251563e-15,2.1316282072803002e-16,1.1102230246251563e-15,1.1489587298081911,0.005277221521791787,98,1.1489587298081911,0.0052772215217917,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_003
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,15,1.0822148164112917,0.004877366596964499,0.925,0.7275906,100,1.0,1.0,2.2648549702353194e-16,1.1102230246251563e-15,2.2648549702353194e-16,1.1102230246251563e-15,1.2270127445693648,0.005125497694965578,97,1.2270127445693648,0.0051254976949655,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_015
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,22,1.0815431704863594,0.005127838174741324,0.875,0.6968213,100,1.0,1.0,2.609024107869118e-16,1.1102230246251563e-15,2.609024107869118e-16,1.1102230246251563e-15,1.2352960113619333,0.0059935243912062975,98,1.2352960113619331,0.0059935243912062,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_022
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,5,1.081894721675561,0.0049588668213341,0.8833333333333333,0.7718954,100,1.0,1.0,1.887379141862766e-16,1.1102230246251563e-15,1.887379141862766e-16,1.1102230246251563e-15,1.2365612199303533,0.005223132442529342,98,1.2365612199303533,0.0052231324425293,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_005
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,2,1.082617242454375,0.005151719219174653,0.925,1.6078622,100,1.0,1.0,1.8207657603852566e-16,1.1102230246251563e-15,1.8207657603852566e-16,1.1102230246251563e-15,1.1760490424480767,0.005407731315845324,97,1.1760490424480767,0.0054077313158453,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_002
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,13,1.0793512651513018,0.005816678360333448,0.9333333333333333,0.7575087,100,1.0,1.0,2.0317081350640363e-16,1.1102230246251563e-15,2.0317081350640363e-16,1.1102230246251563e-15,1.1553084343006748,0.005393491321308386,94,1.1553084343006748,0.0053934913213083,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_013
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,19,1.0822324259462377,0.005598973590954505,0.9083333333333333,0.6814768,100,1.0,1.0,2.287059430727822e-16,1.1102230246251563e-15,2.287059430727822e-16,1.1102230246251563e-15,1.1776980681874782,0.004803763199700505,99,1.1776980681874782,0.0048037631997005,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_019
