split,instance,K,method,run,PF_Size,Runtime,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation,theta_id,N,maxFE,rng_policy,seed_policy,run_dir,HV,IGD,PF_Overlap,Diversity
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,1,100,2.7542881,1,1,3.019806626980426e-16,1.1102230246251563e-15,3.019806626980426e-16,1.1102230246251563e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_001,1.0297879649265542,0.024783875940048758,0.2916666666666667,1.1595581418070053
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,2,100,2.4801609,1,1,4.063416270128073e-16,1.1102230246251563e-15,4.063416270128073e-16,1.1102230246251563e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_002,1.051033752806942,0.007064725999857137,0.9916666666666667,1.124409903421702
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,3,100,3.0215544,1,1,4.285460875053104e-16,1.1102230246251563e-15,4.285460875053104e-16,1.1102230246251563e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_003,1.0292305101360018,0.025832075239289647,0.38333333333333336,1.1739224133163504
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,4,100,2.4723428,1,1,3.0975222387041873e-16,1.1102230246251563e-15,3.0975222387041873e-16,1.1102230246251563e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_004,1.0492762155920665,0.007434468124145136,0.9583333333333334,1.20467043279087
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,5,100,2.3196818,1,1,3.230749001659205e-16,1.9984014443252818e-15,3.230749001659205e-16,1.9984014443252818e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_005,1.0526373533347655,0.0061545025256689,0.9833333333333333,1.0954620995877333
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,6,100,2.1240558,1,1,4.207745263329343e-16,1.3322676295501878e-15,4.207745263329343e-16,1.3322676295501878e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_006,1.0514863706879465,0.007697534540751004,0.9416666666666667,1.193147435128391
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,7,100,2.8199575,1,1,3.8524738954492924e-16,1.2212453270876722e-15,3.8524738954492924e-16,1.2212453270876722e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_007,1.0359725829904416,0.0223968250000836,0.43333333333333335,1.2147654430127581
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,8,100,2.6785091,1,1,3.463895836830488e-16,1.5543122344752194e-15,3.463895836830488e-16,1.5543122344752194e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_008,1.0507554858031158,0.006321562184159037,0.9916666666666667,1.1620191933831843
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,9,100,2.5320665,1,1,2.886579864025407e-16,1.1102230246251563e-15,2.886579864025407e-16,1.1102230246251563e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_009,1.0551724139053724,0.006549112544283956,0.9833333333333333,1.1004416094178235
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,10,100,2.6096235,1,1,3.8191672047105375e-16,1.3322676295501878e-15,3.8191672047105375e-16,1.3322676295501878e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_010,1.0577162843102068,0.006030289047841028,0.9833333333333333,1.1313985305648444
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,11,100,2.8270165,1,1,2.9198865547641616e-16,1.3322676295501878e-15,2.9198865547641616e-16,1.3322676295501878e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_011,1.0571262478002168,0.004439957826960627,1.0,1.2185747105401172
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,12,100,2.3383096,1,1,4.3631764867768654e-16,1.9984014443252818e-15,4.3631764867768654e-16,1.9984014443252818e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_012,1.0522993249173256,0.006142550837367273,1.0,1.2110189629232815
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,13,100,3.1244079,1,1,2.708944180085382e-16,8.881784197001252e-16,2.708944180085382e-16,8.881784197001252e-16,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_013,1.0271536277063997,0.02720688738078576,0.35833333333333334,1.1340837758450504
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,14,100,2.5961442,1,1,3.7303493627405263e-16,1.1102230246251563e-15,3.7303493627405263e-16,1.1102230246251563e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_014,1.0562766811107025,0.005896416250830119,0.9916666666666667,1.1848448624392707
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,15,100,2.5848088,1,1,3.4305891460917336e-16,1.3322676295501878e-15,3.4305891460917336e-16,1.3322676295501878e-15,,,,"rng(run,'mcg16807')",run index,p0_lite_outputs\synthetic_constrained_portfolio\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685\K_05\ECMADE_MOO\run_015,1.052750078875284,0.006711727967267463,0.9916666666666667,1.1313752872533562
