split,instance,K,method,run,PF_Size,Runtime,HV,IGD,PF_Overlap,Diversity
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,1,100,3.2738195,0.9361378391281362,0.021686670637701223,0.6083333333333333,1.2250785276103662
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,2,100,3.2956442,0.9384946625580882,0.021174033909832732,0.5416666666666666,1.2266962906829466
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,3,100,3.3242035,0.9531668013089276,0.012845596978889647,0.925,1.3552141075295485
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,4,100,2.9300299,0.9521806038028144,0.014287084482217839,0.85,1.2888544657821248
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,5,100,2.9838963,0.9535352930651443,0.012269413609368873,0.9083333333333333,1.311634497076172
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,6,100,2.9375527,0.9398760736082519,0.019984555406353625,0.4583333333333333,1.343562822360268
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,7,100,3.3341835,0.9337849406398464,0.02456444143123348,0.525,1.2086478119386386
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,8,100,3.0319803,0.9481897400821995,0.015574584305189675,0.7166666666666667,1.3323380630064803
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,9,100,3.2480013,0.9424470358926106,0.01854231235939589,0.5916666666666667,1.2762989655315877
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,10,100,3.1272223,0.9495377206577009,0.01493646307906867,0.7833333333333333,1.300892001028856
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,11,100,3.2064439,0.9516017210107787,0.01396436648061694,0.8833333333333333,1.3135384584359426
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,12,100,3.3295758,0.9393702838620668,0.020874988503404534,0.6333333333333333,1.255004620654522
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,13,100,3.0910659,0.9429669787597778,0.017835447157599594,0.6333333333333333,1.2798030533477287
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,14,100,3.1834498,0.9440161864092131,0.019472186032075116,0.55,1.3256632343703485
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,15,100,2.9820205,0.9405119367997129,0.019221263646761768,0.7416666666666667,1.2619617099272342
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,16,100,3.1533874,0.9474411753585072,0.016587598493205697,0.6833333333333333,1.2944949502445313
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,17,100,3.1493968,0.921602760819549,0.029169361016322674,0.375,1.2075367445782577
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,18,100,4.1251571,0.9559838690864956,0.01090556829539286,0.9583333333333334,1.3400298554443295
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,19,100,3.4453282,0.9537346021213918,0.013706557340471999,0.8166666666666667,1.3513268135023697
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,20,100,3.1275881,0.9543510171769068,0.01300300222991471,0.9,1.319330158447752
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,21,100,3.2932712,0.9504849625637738,0.015145662935627746,0.75,1.3419721685363035
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,22,100,3.3289867,0.9645219405255133,0.007869871576120714,0.9916666666666667,1.3689271806301946
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,23,100,3.0920523,0.9586734400993101,0.011133835508228664,0.95,1.3456840262722454
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,24,100,2.9769948,0.9108784294961456,0.03640877518099099,0.5083333333333333,1.1195085031185574
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,25,100,3.0665555,0.9490506897862775,0.015086349650844695,0.875,1.2909884190536725
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,26,100,3.1389344,0.9451125449000184,0.016768067321639307,0.6916666666666667,1.3245166356306264
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,27,100,2.9154217,0.9542625038462045,0.01301613804806443,0.9083333333333333,1.326329516059269
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,28,100,2.981893,0.9254231145007341,0.032017099100388254,0.825,1.105201319669025
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,29,100,3.0463408,0.9151814190031284,0.03268363792459747,0.39166666666666666,1.166048118350284
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_237,30,100,3.1346998,0.9419480774996336,0.01848825038371415,0.5916666666666667,1.2925171882464233
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,1,100,3.0960282,0.9361378391281362,0.021686670637701223,0.6083333333333333,1.2250785276103662
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,2,100,3.392506,0.9384946625580882,0.021174033909832732,0.5416666666666666,1.2266962906829466
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,3,100,3.1226709,0.9531668013089276,0.012845596978889647,0.925,1.3552141075295485
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,4,100,3.2171556,0.9521806038028144,0.014287084482217839,0.85,1.2888544657821248
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,5,100,2.9681898,0.9535352930651443,0.012269413609368873,0.9083333333333333,1.311634497076172
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,6,100,3.0250528,0.9398760736082519,0.019984555406353625,0.4583333333333333,1.343562822360268
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,7,100,3.1890665,0.9337849406398464,0.02456444143123348,0.525,1.2086478119386386
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,8,100,3.1357219,0.9481897400821995,0.015574584305189675,0.7166666666666667,1.3323380630064803
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,9,100,3.2536123,0.9424470358926106,0.01854231235939589,0.5916666666666667,1.2762989655315877
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,10,100,3.108381,0.9495377206577009,0.01493646307906867,0.7833333333333333,1.300892001028856
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,11,100,3.2548257,0.9516017210107787,0.01396436648061694,0.8833333333333333,1.3135384584359426
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,12,100,3.2359404,0.9393702838620668,0.020874988503404534,0.6333333333333333,1.255004620654522
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,13,100,3.5829161,0.9429669787597778,0.017835447157599594,0.6333333333333333,1.2798030533477287
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,14,100,3.0117946,0.9440161864092131,0.019472186032075116,0.55,1.3256632343703485
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,15,100,2.9486078,0.9405119367997129,0.019221263646761768,0.7416666666666667,1.2619617099272342
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,16,100,3.1502066,0.9474411753585072,0.016587598493205697,0.6833333333333333,1.2944949502445313
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,17,100,3.0843144,0.921602760819549,0.029169361016322674,0.375,1.2075367445782577
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,18,100,2.9950184,0.9559838690864956,0.01090556829539286,0.9583333333333334,1.3400298554443295
