feature,permutation_importance_mean_r2_drop,permutation_importance_std,n_repeats,random_state
K,0.2612857517917122,0.02994140248609342,10,20260808
subpops,0.10136883992573871,0.017356392073864177,10,20260808
operatorMode,0.04901209937333485,0.013136048911843308,10,20260808
source_operator,0.04310439072052004,0.012762910433832986,10,20260808
theta,0.0,0.0,10,20260808
bestGuide,0.0,0.0,10,20260808
source_constraint_handling,0.0,0.0,10,20260808
source_archive_strategy,0.0,0.0,10,20260808
archiveLimitFactor,0.0,0.0,10,20260808
eliteRatio,-0.0045039144090558755,0.0013975337373155429,10,20260808
stagnationThreshold,-0.006376733656597378,0.0014856335898238105,10,20260808
exchangeMode,-0.007709061589562261,0.0014666801540181892,10,20260808
source_migration,-0.008516556474504621,0.0016108290644512404,10,20260808
