base_feature,mean_abs_shap_sum,mean_shap_sum,transformed_terms
operatorMode,1.1753311053116864,-0.10289597309444302,3
source_operator,1.1350206296370389,-0.09724540053073179,3
K,1.0140937116918967,-0.07319645912349175,1
subpops,0.5614026386977055,0.029023288655032474,1
source_migration,0.047237671450471946,-0.008348621222693536,3
exchangeMode,0.04306008640721559,-0.008920497763636251,3
stagnationThreshold,0.03611042555027156,-0.001453209876736323,1
eliteRatio,0.024002497294965567,0.002755469859221405,1
bestGuide,0.0,0.0,1
archiveLimitFactor,0.0,0.0,1
source_archive_strategy,0.0,0.0,1
source_constraint_handling,0.0,0.0,1
theta,0.0,0.0,1
